,group,variable,month,TOTAL 19.5 ANTIPOLIOMIELÍTICA 1RA DOSIS CANTIDAD,TOTAL 19.5 ANTIPOLIOMIELÍTICA 1RA DOSIS CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,0,2,2
ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,0,2,2
ARQUE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,3,0,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,4,4,8
AZURDUY,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,1,2,3
BERMEJO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,0,1,1
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,4,0,4
CAMIRI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,9,1,10
CARANAVI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,36,1,37
CARIPUYO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,0,1,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,1,8,9
CHIMORE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,2,1,3
CHUMA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,2,8,10
COBIJA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,6,3,9
COCAPATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,0,2,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,191,0,191
COLOMI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,1,2,3
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,5,2,7
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,2,0,2
COROICO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,2,0,2
COTOCA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,3,0,3
CUEVO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,56,72,128
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1
EUCALIPTUS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,0,6,6
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,2,1,3
GUANAY,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,7,3,10
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,0,1,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,5,0,5
HUATAJATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,0,1,1
ICHOCA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,2,0,2
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,62,0,62
LAJA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,0,19,19
LURIBAY,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,0,2,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,19,4,23
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,1,4,5
OCURI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,0,22,22
ORURO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,3,0,3
PAILON,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,4,8,12
PAZÑA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1
PELECHUCO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,0,7,7
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,3,0,3
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,3,2,5
POTOSI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,6,0,6
PUERTO CARABUCO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1
PUNATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,2,0,2
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,21,14,35
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,18,4,22
ROBORE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,11,0,11
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,6,0,6
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,7,0,7
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,7,0,7
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,2,0,2
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,3,0,3
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,5,0,5
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,0,1,1
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,110,3,113
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,4,0,4
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,2,0,2
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,2,0,2
SICAYA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,0,2,2
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,4,0,4
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,3,0,3
TACACOMA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,0,1,1
