,group,variable,month,TOTAL 19.9 SRP DOSIS ÚNICA CANTIDAD,TOTAL 19.9 SRP DOSIS ÚNICA CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,1,0,1
ARBIETO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,5,9,14
AYATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,0,10,10
AZURDUY,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,0,5,5
BERMEJO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,1,0,1
BETANZOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,2,0,2
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,0,1,1
CALACOTO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,1,0,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,2,2,4
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,1,0,1
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,3,0,3
CARANAVI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,3,0,3
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,6,1,7
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,0,3,3
CHIMORE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,4,0,4
COBIJA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,9,0,9
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,157,14,171
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,3,0,3
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,3,0,3
COLOMI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,1,4,5
COLPA BELGICA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,2,3,5
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,0,1,1
COPACABANA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,1,0,1
CORIPATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,1,0,1
COROICO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,1,0,1
CORQUE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,0,1,1
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,12,0,12
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,107,77,184
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,1,0,1
EL TORNO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,6,3,9
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,1,1,2
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,6,6,12
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,0,1,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,3,0,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,8,0,8
HUANUNI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,1,1,2
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,0,2,2
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,0,11,11
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,0,1,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,8,1,9
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,85,3,88
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,2,6,8
LLICA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,0,1,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,15,2,17
MORO MORO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,0,1,1
OKINAWA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,1,0,1
ORURO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,28,0,28
PAILON,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,5,12,17
PALCA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,0,3,3
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,1,0,1
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,0,2,2
PORONGO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,1,2,3
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,4,0,4
PORVENIR,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,0,2,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,24,5,29
PUCARANI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,1,0,1
PUERTO PEREZ,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,1,0,1
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,3,2,5
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,2,0,2
PUNATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,3,0,3
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,18,22,40
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,6,3,9
SACABA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,21,4,25
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,0,1,1
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,1,0,1
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,0,2,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,7,4,11
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,1,0,1
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,2,0,2
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,2,1,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,3,0,3
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,4,5,9
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,2,0,2
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,1,0,1
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,257,21,278
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,3,0,3
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,1,1,2
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,0,1,1
SENA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,0,1,1
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,3,2,5
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,1,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,4,1,5
SORACACHI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,1,0,1
SORATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,8,0,8
TACACOMA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,0,1,1
