,group,variable,month,TOTAL 19.2 DPT 2DA DOSIS CANTIDAD,TOTAL 19.2 DPT 2DA DOSIS CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ALCALA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,3,0,3
ARANI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,1,1,2
BELEN DE URMIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,0,1,1
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,1,0,1
BERMEJO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,2,2,4
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,1,1,2
CABEZAS,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,1,0,1
CALACOTO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,1,5,6
CAMIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,3,1,4
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,2,5,7
CARAPARI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,1,0,1
CHUA COCANI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,2,4,6
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,1,0,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,2,3,5
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,73,0,73
COLOMI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,4,0,4
CORO CORO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,3,0,3
CUEVO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,12,15,27
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,43,20,63
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,2,0,2
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,0,1,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,12,0,12
HUANUNI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,9,2,11
HUMANATA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,8,1,9
ICHOCA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,0,2,2
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,2,0,2
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,20,1,21
LA RIVERA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,1,1,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,12,0,12
ORURO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,12,0,12
PADILLA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,1,0,1
PAILON,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,3,12,15
PALCA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,4,7,11
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,2,0,2
PELECHUCO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,3,2,5
PORCO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,17,0,17
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,7,0,7
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,4,8,12
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,67,4,71
SACABA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,10,0,10
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,2,0,2
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,3,0,3
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,3,0,3
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,3,0,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,49,2,51
SANTIAGO DE MACHACA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,0,1,1
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,1,4,5
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,4,1,5
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,2,0,2
TAPACARI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,3,4,7
TARATA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,1,0,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,2,0,2
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,1,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,1,0,1
TORO TORO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,0,3,3
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,0,2,2
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,3,1,4
URUBICHA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,0,6,6
UYUNI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,1,0,1
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,0,1,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,7,0,7
VINTO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,1,0,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,1,0,1
YANACACHI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,1,0,1
YAPACANI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-01-01,1,0,1
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,0,1,1
ARQUE,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,3,3,6
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,6,3,9
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,3,0,3
BELEN DE ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,2,0,2
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,1,1,2
CALACOTO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,1,7,8
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,0,1,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,1,0,1
CHARAÑA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,1,0,1
CLIZA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,44,5,49
COLOMI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,1,3,4
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,3,1,4
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,0,6,6
CORO CORO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,3,0,3
CUEVO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,2,13,15
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,28,30,58
