,group,variable,month,TOTAL 19.6 ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,TOTAL 19.6 ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,9,4,13
ALCALA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,3,0,3
ARANI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,1,1,2
BELEN DE URMIRI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,0,1,1
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,1,0,1
BERMEJO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,2,2,4
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,1,1,2
CABEZAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,1,0,1
CALACOTO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,1,5,6
CAMIRI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,2,0,2
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,0,5,5
CARANAVI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,1,0,1
CHUA COCANI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,2,4,6
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,1,0,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,2,3,5
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,81,0,81
COLOMI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,4,0,4
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,4,0,4
CORO CORO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,3,0,3
CUEVO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,12,15,27
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,43,14,57
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,2,0,2
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,0,1,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,12,0,12
GUAQUI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,2,3,5
HUANUNI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,9,2,11
ICHOCA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,0,2,2
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,2,0,2
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,30,1,31
MONTERO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,4,0,4
ORURO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,13,0,13
PADILLA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,1,0,1
PAILON,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,3,12,15
PALCA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,0,3,3
PELECHUCO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,3,2,5
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,7,0,7
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,4,8,12
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,63,4,67
SACABA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,10,0,10
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,2,0,2
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,3,0,3
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,3,0,3
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,3,0,3
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,53,3,56
SANTIAGO DE MACHACA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,0,1,1
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,0,4,4
SICAYA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,4,1,5
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,2,0,2
TAPACARI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,3,3,6
TARATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,1,0,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,2,0,2
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,1,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,1,0,1
TORO TORO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,0,3,3
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,3,1,4
URUBICHA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,0,6,6
UYUNI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,7,0,7
YACUIBA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,1,0,1
YAPACANI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-01-01,1,0,1
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-02-01,0,1,1
ARQUE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-02-01,3,3,6
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-02-01,6,3,9
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-02-01,3,0,3
BETANZOS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-02-01,9,0,9
CALACOTO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-02-01,1,7,8
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-02-01,0,1,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-02-01,2,1,3
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-02-01,1,0,1
CHARAÑA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-02-01,2,0,2
CLIZA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-02-01,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-02-01,58,5,63
COLLANA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-02-01,3,0,3
COLOMI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-02-01,0,3,3
