,group,variable,month,TOTAL 19.3 DPT 3RA DOSIS CANTIDAD,TOTAL 19.3 DPT 3RA DOSIS CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,1,1,2
CHIMORE,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,13,0,13
COLOMI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,1,0,1
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,1,0,1
COROICO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,1,0,1
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,2,2,4
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,34,41,75
EL TORNO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,1,0,1
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,0,1,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,2,0,2
HUAYLLAMARCA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,0,1,1
HUMANATA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,2,0,2
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,2,0,2
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,5,0,5
MINEROS,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,2,0,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,11,0,11
ORURO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,7,0,7
PADCAYA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,1,0,1
PAILON,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,0,3,3
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,1,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,6,0,6
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,2,0,2
PUNA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,0,1,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,2,13,15
SACABA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,2,0,2
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,4,0,4
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,1,0,1
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,1,1,2
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,45,0,45
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,1,0,1
SENA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,0,4,4
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,3,6,9
SUCRE,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,1,0,1
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,5,0,5
UYUNI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,2,0,2
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,6,0,6
WARNES,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,2,0,2
YACUIBA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-01-01,2,0,2
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,0,2,2
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,1,0,1
BERMEJO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,1,0,1
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,1,2,3
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,2,0,2
COBIJA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,8,1,9
COLOMI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,1,0,1
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,0,1,1
COROICO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,1,0,1
CORQUE,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,1,1,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,21,12,33
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,0,1,1
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,0,2,2
ICLA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,0,1,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,3,0,3
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,16,4,20
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,1,0,1
LORETO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,2,2,4
OKINAWA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,1,0,1
ORURO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,4,11,15
POTOSI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,10,4,14
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,0,2,2
PUNATA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,0,1,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,10,23,33
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,3,0,3
SACABA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,1,1,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,2,0,2
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,3,1,4
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,6,0,6
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,35,0,35
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,1,0,1
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,2,0,2
TARIJA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,0,2,2
TOLEDO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,1,0,1
