municipality,group,variable,month,Niños de 6 a 11 meses con dosis única de vitam,TOTAL
ACACIO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,4,4
ACHACACHI,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,124,124
ACHOCALLA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,15,15
AIQUILE,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,40,40
ALALAY,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,5,5
ALCALA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,9,9
ANCORAIMES,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,34,34
ANDAMARCA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,2,2
ANTEQUERA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,2,2
ANZALDO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,5,5
APOLO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,21,21
ARAMPAMPA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,5,5
ARANI,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,28,28
ARBIETO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,7,7
ARQUE,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,23,23
ASCENCION DE GUARAYOS,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,1,1
ATOCHA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,22,22
AUCAPATA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,4,4
AYATA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,13,13
AYO AYO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,29,29
AZURDUY,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,36,36
BATALLAS,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,17,17
BAURES,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,4,4
BELEN DE ANDAMARCA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,2,2
BELEN DE URMIRI,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,1,1
BELLA FLOR,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,14,14
BERMEJO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,37,37
BETANZOS,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,56,56
BOLIVAR,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,21,21
BOLPEBRA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,6,6
BOYUIBE,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,8,8
BUENA VISTA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,50,50
CABEZAS,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,18,18
CAIROMA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,21,21
"CAIZA ""D""",micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,10,10
CAJUATA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,28,28
CALACOTO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,5,5
CALAMARCA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,26,26
CAMARGO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,55,55
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,6,6
CAMIRI,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,27,27
CAPINOTA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,15,15
CAQUIAVIRI,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,4,4
CARACOLLO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,28,28
CARANAVI,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,86,86
CARAPARI,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,18,18
CARIPUYO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,20,20
CARMEN RIVERO TORREZ,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,12,12
CHALLAPATA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,19,19
CHAQUI,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,8,8
CHARAGUA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,41,41
CHARAÑA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,3,3
CHAYANTA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,9,9
CHIMORE,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,5,5
CHIPAYA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,5,5
CHOQUE COTA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,13,13
CHUMA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,12,12
CLIZA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,1,1
COBIJA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,67,67
COCHABAMBA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,692,692
COLCAPIRHUA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,40,40
"COLCHA ""K""",micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2006-01-01,2,2
