municipality,group,variable,month,Nacidos muertos atendidos por partera,TOTAL
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2020-01-01,1.0,1.0
PUERTO VILLARROEL,atencion de partos en domicilio,nacidos muertos atendidos por partera,2020-01-01,1.0,1.0
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2020-01-01,4.0,4.0
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,nacidos muertos atendidos por partera,2020-02-01,1.0,1.0
MONTEAGUDO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2020-03-01,1.0,1.0
YACUIBA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2020-03-01,1.0,1.0
YUNCHARA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2020-03-01,1.0,1.0
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,nacidos muertos atendidos por partera,2020-04-01,1.0,1.0
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2020-04-01,1.0,1.0
REYES,atencion de partos en domicilio,nacidos muertos atendidos por partera,2020-05-01,1.0,1.0
SAMAIPATA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2020-05-01,1.0,1.0
CORIPATA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2020-06-01,2.0,2.0
YACUIBA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2020-06-01,1.0,1.0
"COLCHA ""K""",atencion de partos en domicilio,nacidos muertos atendidos por partera,2020-08-01,1.0,1.0
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2020-08-01,1.0,1.0
JESUS DE MACHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2020-08-01,1.0,1.0
SAN MATIAS,atencion de partos en domicilio,nacidos muertos atendidos por partera,2020-08-01,1.0,1.0
TAPACARI,atencion de partos en domicilio,nacidos muertos atendidos por partera,2020-08-01,1.0,1.0
CALAMARCA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2020-09-01,1.0,1.0
SAN IGNACIO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2020-09-01,1.0,1.0
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por partera,2020-09-01,1.0,1.0
CABEZAS,atencion de partos en domicilio,nacidos muertos atendidos por partera,2020-10-01,1.0,1.0
PORVENIR,atencion de partos en domicilio,nacidos muertos atendidos por partera,2020-10-01,2.0,2.0
CAMARGO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2020-11-01,1.0,1.0
PAMPA GRANDE,atencion de partos en domicilio,nacidos muertos atendidos por partera,2020-11-01,1.0,1.0
TORO TORO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2020-11-01,1.0,1.0
BERMEJO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2020-12-01,3.0,3.0
MOCOMOCO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2020-12-01,1.0,1.0
PALOS BLANCOS,atencion de partos en domicilio,nacidos muertos atendidos por partera,2020-12-01,1.0,1.0
YUNCHARA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2020-12-01,1.0,1.0
