municipality,group,variable,month,Partos atendidos por personal de salud calificado,TOTAL
ACACIO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2020-01-01,2,2
ACHACACHI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2020-01-01,9,9
ACHOCALLA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2020-01-01,8,8
AIQUILE,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2020-01-01,1,1
ANCORAIMES,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2020-01-01,3,3
ANZALDO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2020-01-01,2,2
APOLO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2020-01-01,1,1
ARAMPAMPA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2020-01-01,1,1
ARBIETO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2020-01-01,1,1
ARQUE,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2020-01-01,8,8
AUCAPATA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2020-01-01,3,3
AYATA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2020-01-01,3,3
AYO AYO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2020-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por personal de salud calificado,2020-01-01,7,7
AZURDUY,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2020-01-01,2,2
BATALLAS,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2020-01-01,6,6
BAURES,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2020-01-01,1,1
BERMEJO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2020-01-01,2,2
BETANZOS,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2020-01-01,7,7
BOLIVAR,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2020-01-01,4,4
BOLPEBRA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2020-01-01,1,1
"CAIZA ""D""",atencion de partos en domicilio,partos atendidos por personal de salud calificado,2020-01-01,1,1
CALAMARCA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2020-01-01,2,2
CAMARGO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2020-01-01,1,1
CAPINOTA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2020-01-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2020-01-01,1,1
