municipality,group,variable,month,Partos atendidos por partera empírica,TOTAL
ALALAY,atencion de partos en domicilio,partos atendidos por partera empirica,2020-01-01,1,1
ARQUE,atencion de partos en domicilio,partos atendidos por partera empirica,2020-01-01,1,1
CABEZAS,atencion de partos en domicilio,partos atendidos por partera empirica,2020-01-01,2,2
CAMIRI,atencion de partos en domicilio,partos atendidos por partera empirica,2020-01-01,1,1
CAPINOTA,atencion de partos en domicilio,partos atendidos por partera empirica,2020-01-01,1,1
CKOCHAS,atencion de partos en domicilio,partos atendidos por partera empirica,2020-01-01,1,1
COMARAPA,atencion de partos en domicilio,partos atendidos por partera empirica,2020-01-01,1,1
ENTRE RIOS TRJ,atencion de partos en domicilio,partos atendidos por partera empirica,2020-01-01,1,1
EUCALIPTUS,atencion de partos en domicilio,partos atendidos por partera empirica,2020-01-01,1,1
INCAHUASI,atencion de partos en domicilio,partos atendidos por partera empirica,2020-01-01,1,1
LORETO,atencion de partos en domicilio,partos atendidos por partera empirica,2020-01-01,1,1
POCOATA,atencion de partos en domicilio,partos atendidos por partera empirica,2020-01-01,1,1
PORTACHUELO,atencion de partos en domicilio,partos atendidos por partera empirica,2020-01-01,1,1
ROBORE,atencion de partos en domicilio,partos atendidos por partera empirica,2020-01-01,1,1
RURRENABAQUE,atencion de partos en domicilio,partos atendidos por partera empirica,2020-01-01,1,1
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera empirica,2020-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por partera empirica,2020-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por partera empirica,2020-01-01,5,5
TAPACARI,atencion de partos en domicilio,partos atendidos por partera empirica,2020-01-01,1,1
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera empirica,2020-01-01,1,1
TIQUIPAYA,atencion de partos en domicilio,partos atendidos por partera empirica,2020-01-01,1,1
VALLEGRANDE,atencion de partos en domicilio,partos atendidos por partera empirica,2020-01-01,2,2
WALDO BALLIVIAN,atencion de partos en domicilio,partos atendidos por partera empirica,2020-01-01,1,1
YACUIBA,atencion de partos en domicilio,partos atendidos por partera empirica,2020-01-01,1,1
BOYUIBE,atencion de partos en domicilio,partos atendidos por partera empirica,2020-02-01,1,1
CABEZAS,atencion de partos en domicilio,partos atendidos por partera empirica,2020-02-01,25,25
CALAMARCA,atencion de partos en domicilio,partos atendidos por partera empirica,2020-02-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera empirica,2020-02-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,partos atendidos por partera empirica,2020-02-01,2,2
MOCOMOCO,atencion de partos en domicilio,partos atendidos por partera empirica,2020-02-01,2,2
OKINAWA,atencion de partos en domicilio,partos atendidos por partera empirica,2020-02-01,9,9
POCOATA,atencion de partos en domicilio,partos atendidos por partera empirica,2020-02-01,1,1
PUERTO VILLARROEL,atencion de partos en domicilio,partos atendidos por partera empirica,2020-02-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por partera empirica,2020-02-01,1,1
RURRENABAQUE,atencion de partos en domicilio,partos atendidos por partera empirica,2020-02-01,1,1
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera empirica,2020-02-01,1,1
SAN BUENA VENTURA,atencion de partos en domicilio,partos atendidos por partera empirica,2020-02-01,1,1
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera empirica,2020-02-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por partera empirica,2020-02-01,2,2
SAPAHAQUI,atencion de partos en domicilio,partos atendidos por partera empirica,2020-02-01,1,1
TAPACARI,atencion de partos en domicilio,partos atendidos por partera empirica,2020-02-01,4,4
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera empirica,2020-02-01,1,1
TORO TORO,atencion de partos en domicilio,partos atendidos por partera empirica,2020-02-01,1,1
UNCIA,atencion de partos en domicilio,partos atendidos por partera empirica,2020-02-01,1,1
VILLA CHARCAS,atencion de partos en domicilio,partos atendidos por partera empirica,2020-02-01,1,1
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por partera empirica,2020-02-01,2,2
VILLAZON,atencion de partos en domicilio,partos atendidos por partera empirica,2020-02-01,1,1
YACUIBA,atencion de partos en domicilio,partos atendidos por partera empirica,2020-02-01,2,2
