municipality,group,variable,month,Mujeres con visita de control en las 48 hrs siguientes al parto,TOTAL
ACACIO,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2020-01-01,4,4
ACHACACHI,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2020-01-01,13,13
ACHOCALLA,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2020-01-01,8,8
AIQUILE,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2020-01-01,1,1
ANCORAIMES,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2020-01-01,6,6
ANDAMARCA,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2020-01-01,1,1
ANTEQUERA,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2020-01-01,1,1
ANZALDO,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2020-01-01,5,5
APOLO,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2020-01-01,3,3
ARAMPAMPA,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2020-01-01,1,1
ARANI,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2020-01-01,1,1
ARBIETO,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2020-01-01,2,2
ARQUE,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2020-01-01,12,12
ATOCHA,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2020-01-01,3,3
AUCAPATA,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2020-01-01,5,5
AYATA,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2020-01-01,6,6
AYO AYO,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2020-01-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2020-01-01,7,7
AZURDUY,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2020-01-01,4,4
