municipality,group,variable,month,Nacidos vivos con peso menor a 2500g,TOTAL
AIQUILE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2020-01-01,1,1
ATOCHA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2020-01-01,1,1
BAURES,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2020-01-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2020-01-01,1,1
CHALLAPATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2020-01-01,2,2
CHUA COCANI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2020-01-01,2,2
CKOCHAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2020-01-01,1,1
"COLCHA ""K""",atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2020-01-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2020-01-01,2,2
COLQUENCHA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2020-01-01,1,1
CORQUE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2020-01-01,1,1
DESAGUADERO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2020-01-01,1,1
EUCALIPTUS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2020-01-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2020-01-01,1,1
ORURO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2020-01-01,1,1
PAMPA AULLAGAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2020-01-01,2,2
POROMA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2020-01-01,1,1
POTOSI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2020-01-01,2,2
PUERTO VILLARROEL,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2020-01-01,1,1
PUNA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2020-01-01,1,1
SAN ANDRES DE MACHACA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2020-01-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2020-01-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2020-01-01,1,1
SAN MIGUEL DE VELASCO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2020-01-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2020-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2020-01-01,1,1
SANTIAGO DE CALLAPA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2020-01-01,2,2
SICA SICA (VILLA AROMA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2020-01-01,1,1
SUCRE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2020-01-01,1,1
VIACHA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2020-01-01,1,1
VILLA TUNARI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2020-01-01,1,1
YACO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2020-01-01,2,2
YOTALA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2020-01-01,1,1
ACHACACHI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2020-02-01,3,3
ACHOCALLA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2020-02-01,1,1
CAMARGO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2020-02-01,2,2
CHALLAPATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2020-02-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2020-02-01,1,1
COMARAPA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2020-02-01,2,2
