municipality,group,variable,month,Partos atendidos por otros,TOTAL
AIQUILE,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,1,1
ANZALDO,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,1,1
ARANI,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,1,1
ARBIETO,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,1,1
ATOCHA,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,1,1
AYO AYO,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,1,1
CAIROMA,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,1,1
CAPINOTA,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,3,3
CARANAVI,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,1,1
CHALLAPATA,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,1,1
CHIMORE,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,1,1
COCHABAMBA,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,3,3
COMANCHE,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,1,1
COROICO,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,2,2
COTAGAITA,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,1,1
CUEVO,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,29,29
ENTRE RIOS CBBA,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,2,2
GUTIERREZ,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,5,5
HUANUNI,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,1,1
LA GUARDIA,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,1,1
LA PAZ,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,1,1
MAIRANA,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,1,1
MIZQUE,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,1,1
MOROCHATA,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,1,1
OCURI,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,1,1
ORURO,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,2,2
PALOS BLANCOS,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,1,1
POTOSI,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,5,5
PUCARANI,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,2,2
PUERTO VILLARROEL,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,3,3
QUILLACOLLO,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,3,3
SACACA,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,2,2
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,2,2
SAN BORJA,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,6,6
SAN BUENA VENTURA,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,1,1
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,2,2
SAN LORENZO(TJA),atencion de partos en domicilio,partos atendidos por otros,2020-01-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,1,1
SAPAHAQUI,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,1,1
SENA,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,3,3
SIPE SIPE,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,8,8
SUCRE,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,1,1
TACOPAYA,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,3,3
TAPACARI,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,2,2
TARABUCO,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,1,1
TIAHUANACU,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,3,3
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,1,1
TIQUIPAYA,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,2,2
TORO TORO,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,1,1
TOTORA(CBBA),atencion de partos en domicilio,partos atendidos por otros,2020-01-01,4,4
URIONDO (A. CONCEPCION),atencion de partos en domicilio,partos atendidos por otros,2020-01-01,1,1
VILA VILA,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,1,1
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,partos atendidos por otros,2020-01-01,1,1
VILLAZON,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,2,2
VINTO,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,1,1
WARNES,atencion de partos en domicilio,partos atendidos por otros,2020-01-01,3,3
