municipality,group,variable,month,Nacidos vivos atendidos por partera,TOTAL
ALALAY,atencion de partos en domicilio,nacidos vivos atendidos por partera,2020-01-01,1,1
ARQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2020-01-01,1,1
CABEZAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2020-01-01,2,2
CAMIRI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2020-01-01,1,1
CAPINOTA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2020-01-01,1,1
CKOCHAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2020-01-01,1,1
COMARAPA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2020-01-01,1,1
ENTRE RIOS TRJ,atencion de partos en domicilio,nacidos vivos atendidos por partera,2020-01-01,1,1
EUCALIPTUS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2020-01-01,1,1
INCAHUASI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2020-01-01,1,1
LORETO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2020-01-01,1,1
OCURI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2020-01-01,1,1
ORURO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2020-01-01,1,1
PAMPA GRANDE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2020-01-01,1,1
PORTACHUELO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2020-01-01,1,1
ROBORE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2020-01-01,2,2
RURRENABAQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2020-01-01,1,1
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2020-01-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2020-01-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2020-01-01,4,4
SAN BUENA VENTURA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2020-01-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2020-01-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2020-01-01,1,1
SAN LORENZO(TJA),atencion de partos en domicilio,nacidos vivos atendidos por partera,2020-01-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2020-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2020-01-01,5,5
SAPAHAQUI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2020-01-01,2,2
TAPACARI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2020-01-01,1,1
TARIJA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2020-01-01,1,1
TIAHUANACU,atencion de partos en domicilio,nacidos vivos atendidos por partera,2020-01-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2020-01-01,2,2
TIQUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2020-01-01,2,2
TRINIDAD,atencion de partos en domicilio,nacidos vivos atendidos por partera,2020-01-01,1,1
TUPIZA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2020-01-01,1,1
VALLEGRANDE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2020-01-01,2,2
VILLA TUNARI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2020-01-01,2,2
