municipality,group,variable,month,Partos atendidos por proveedor calificado,TOTAL
ACACIO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2020-01-01,2,2
ACHACACHI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2020-01-01,3,3
ANCORAIMES,atencion de partos en domicilio,partos atendidos por proveedor calificado,2020-01-01,3,3
ANDAMARCA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2020-01-01,1,1
ANTEQUERA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2020-01-01,1,1
ANZALDO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2020-01-01,2,2
APOLO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2020-01-01,2,2
ARQUE,atencion de partos en domicilio,partos atendidos por proveedor calificado,2020-01-01,3,3
ATOCHA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2020-01-01,3,3
AUCAPATA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2020-01-01,2,2
AYATA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2020-01-01,3,3
AYO AYO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2020-01-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por proveedor calificado,2020-01-01,1,1
AZURDUY,atencion de partos en domicilio,partos atendidos por proveedor calificado,2020-01-01,2,2
BATALLAS,atencion de partos en domicilio,partos atendidos por proveedor calificado,2020-01-01,4,4
BELLA FLOR,atencion de partos en domicilio,partos atendidos por proveedor calificado,2020-01-01,1,1
BETANZOS,atencion de partos en domicilio,partos atendidos por proveedor calificado,2020-01-01,2,2
BOLIVAR,atencion de partos en domicilio,partos atendidos por proveedor calificado,2020-01-01,1,1
CAIROMA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2020-01-01,4,4
"CAIZA ""D""",atencion de partos en domicilio,partos atendidos por proveedor calificado,2020-01-01,2,2
CALAMARCA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2020-01-01,8,8
CAQUIAVIRI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2020-01-01,6,6
CARANAVI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2020-01-01,3,3
CARIPUYO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2020-01-01,3,3
CHALLAPATA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2020-01-01,2,2
CHAQUI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2020-01-01,1,1
CHARAÑA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2020-01-01,2,2
CHIMORE,atencion de partos en domicilio,partos atendidos por proveedor calificado,2020-01-01,2,2
CHIPAYA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2020-01-01,3,3
CHUMA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2020-01-01,3,3
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2020-01-01,1,1
CKOCHAS,atencion de partos en domicilio,partos atendidos por proveedor calificado,2020-01-01,1,1
COCAPATA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2020-01-01,6,6
COLQUECHACA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2020-01-01,17,17
COLQUENCHA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2020-01-01,13,13
COLQUIRI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2020-01-01,2,2
COPACABANA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2020-01-01,1,1
CORIPATA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2020-01-01,1,1
COROICO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2020-01-01,4,4
CORQUE,atencion de partos en domicilio,partos atendidos por proveedor calificado,2020-01-01,2,2
