municipality,group,variable,month,Partos atendidos por personal de salud,TOTAL
ACACIO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
ACHACACHI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,33,33
ACHOCALLA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,4,4
AIQUILE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
ALALAY,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,4,4
ALCALA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
ANCORAIMES,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,6,6
ANDAMARCA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,5,5
ANZALDO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,2,2
APOLO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,3,3
ARAMPAMPA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,9,9
ARANI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
ARBIETO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
ARQUE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,12,12
ATOCHA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
AUCAPATA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
AYATA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,4,4
AZURDUY,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,11,11
BATALLAS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,2,2
BAURES,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,2,2
BELEN DE ANDAMARCA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
BELEN DE URMIRI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,5,5
BELLA FLOR,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,2,2
BETANZOS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,18,18
BOLIVAR,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,8,8
BOYUIBE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,2,2
BUENA VISTA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,2,2
CAIROMA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
