municipality,group,variable,month,Nacidos vivos atendidos por partera capacitad,TOTAL
ACACIO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,4,4
AIQUILE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
ALCALA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
ANCORAIMES,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,4,4
ANZALDO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
APOLO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,6,6
ARAMPAMPA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,3,3
ARBIETO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
ARQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,3,3
ASCENCION DE GUARAYOS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,3,3
ATOCHA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,14,14
BATALLAS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,2,2
BETANZOS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,4,4
BOLIVAR,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,2,2
"CAIZA ""D""",atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,2,2
CAJUATA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
CALAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,5,5
CAMARGO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,2,2
CAMATAQUI (C. VILLA ABECIA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
CAPINOTA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,2,2
CAQUIAVIRI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
CARANAVI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,5,5
CARIPUYO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,8,8
CHALLAPATA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,5,5
CHARAGUA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,2,2
CHAYANTA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,14,14
CHIMORE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
CHUMA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
COBIJA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,40,40
COLQUENCHA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,2,2
COMARAPA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,3,3
CONCEPCION,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,3,3
CORO CORO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
CORQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
COTAGAITA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,2,2
COTOCA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
CUATRO CAÑADAS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
CUEVO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,3,3
CULPINA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,4,4
CURAHUARA DE CARANGAS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,2,2
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,4,4
EL PUENTE(STC),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
EL VILLAR,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
ENTRE RIOS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,4,4
ENTRE RIOS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,5,5
GUAQUI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
GUAYARAMERIN,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,2,2
GUTIERREZ,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,2,2
HUACARETA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
HUANUNI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,3,3
HUARACAJE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
HUAYLLAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,2,2
ICHOCA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
ICLA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,3,3
INCAHUASI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,5,5
INQUISIVI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
IXIAMAS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
JESUS DE MACHACA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,3,3
LA ASUNTA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,2,2
LAGUNILLAS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,3,3
LLALLAGUA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,4,4
LLICA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
MACHARETI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
