municipality,group,variable,month,Nacidos muertos atendidos por personal de sal,TOTAL
COTAGAITA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-01-01,1,1
EUCALIPTUS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-01-01,2,2
INCAHUASI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-01-01,1,1
LA PAZ,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-01-01,1,1
MAGDALENA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-01-01,1,1
MIZQUE,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-01-01,1,1
MOCOMOCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-01-01,1,1
SAN ANDRES,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-01-01,1,1
SICA SICA (VILLA AROMA),atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-01-01,1,1
SUCRE,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-01-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-01-01,1,1
TOTORA(CBBA),atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-01-01,1,1
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-01-01,1,1
CULPINA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-02-01,2,2
EUREKA (SANTOS MERCADO),atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-02-01,1,1
INCAHUASI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-02-01,1,1
IXIAMAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-02-01,1,1
LAJA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-02-01,1,1
MIZQUE,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-02-01,1,1
MOJINETE,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-02-01,1,1
MOJOCOYA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-02-01,1,1
POROMA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-02-01,1,1
PUERTO ACOSTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-02-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-02-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-02-01,1,1
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-02-01,2,2
VILA VILA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-02-01,1,1
VILLA SERRANO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-02-01,1,1
ACHACACHI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-03-01,3,3
ANCORAIMES,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-03-01,2,2
APOLO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-03-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-03-01,2,2
CAMARGO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-03-01,1,1
CARANAVI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-03-01,2,2
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-03-01,1,1
COLQUIRI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-03-01,1,1
CULPINA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-03-01,1,1
INCAHUASI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-03-01,1,1
MOCOMOCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-03-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-03-01,1,1
PELECHUCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-03-01,1,1
PORCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-03-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-03-01,1,1
