,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2020-01-01,0,0,2,0,2,0
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania mucosa,2020-01-01,0,0,1,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2020-01-01,0,1,3,0,3,1
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania mucosa,2020-01-01,1,0,0,0,1,0
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2020-01-01,0,0,0,1,0,1
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania mucosa,2020-01-01,0,0,1,0,1,0
PUERTO RICO,leishmaniasis,tratamientos de leishmania mucosa,2020-01-01,1,0,0,0,1,0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2020-01-01,4,0,3,0,7,0
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2020-01-01,0,0,1,0,1,0
SACABA,leishmaniasis,tratamientos de leishmania mucosa,2020-01-01,0,0,1,0,1,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2020-01-01,1,0,1,0,2,0
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2020-02-01,1,0,0,0,1,0
CHIMORE,leishmaniasis,tratamientos de leishmania mucosa,2020-02-01,1,1,0,0,1,1
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania mucosa,2020-02-01,0,0,1,0,1,0
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania mucosa,2020-02-01,1,0,0,0,1,0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2020-02-01,4,0,0,0,4,0
VILLA MONTES,leishmaniasis,tratamientos de leishmania mucosa,2020-02-01,3,0,338,0,341,0
