,group,variable,month,TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2020-01-01,0,0,1,0,1,0
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2020-01-01,2,0,2,0,4,0
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2020-01-01,4,2,6,1,10,3
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2020-01-01,3,0,1,0,4,0
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2020-01-01,0,1,3,1,3,2
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2020-01-01,5,1,3,1,8,2
CONCEPCION,leishmaniasis,tratamientos de leishmania cutanea,2020-01-01,0,0,2,0,2,0
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2020-01-01,0,1,0,2,0,3
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2020-01-01,1,0,0,0,1,0
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2020-01-01,0,0,4,0,4,0
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2020-01-01,2,0,2,0,4,0
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2020-01-01,2,1,2,1,4,2
MAPIRI,leishmaniasis,tratamientos de leishmania cutanea,2020-01-01,0,0,3,0,3,0
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,tratamientos de leishmania cutanea,2020-01-01,1,0,1,0,2,0
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2020-01-01,7,3,8,5,15,8
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2020-01-01,1,1,1,0,2,1
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2020-01-01,1,1,0,1,1,2
