,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
AYOPAYA (V. DE INDEPENDENCIA),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2020-02-01,0.0,0.0,0.0,1.0,0.0,1.0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2020-02-01,1.0,0.0,0.0,0.0,1.0,0.0
VILLA MONTES,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2020-02-01,2.0,0.0,0.0,0.0,2.0,0.0
"CAIZA ""D""",leishmaniasis,tratamientos de leishmania mucosa y cutanea,2020-03-01,1.0,0.0,0.0,0.0,1.0,0.0
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2020-03-01,1.0,0.0,0.0,0.0,1.0,0.0
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2020-03-01,25.0,9.0,0.0,0.0,25.0,9.0
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2020-04-01,0.0,0.0,1.0,0.0,1.0,0.0
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2020-05-01,1.0,0.0,0.0,0.0,1.0,0.0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0
MONTERO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2020-06-01,0.0,0.0,1.0,0.0,1.0,0.0
VILLA SERRANO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2020-06-01,0.0,0.0,1.0,0.0,1.0,0.0
