municipality,group,variable,month,Vacunaciones SRP fuera de servicio,TOTAL
ACACIO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,5,5
ACHACACHI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,67,67
ACHOCALLA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,9,9
AIQUILE,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,16,16
ALALAY,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,7,7
ANCORAIMES,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,21,21
ANDAMARCA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,4,4
APOLO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,15,15
ARANI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,9,9
ARBIETO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,10,10
ATOCHA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,22,22
AYATA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,4,4
AYO AYO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,27,27
AZURDUY,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,4,4
BATALLAS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,30,30
BELEN DE ANDAMARCA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,1,1
BELEN DE URMIRI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,1,1
BERMEJO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,3,3
BETANZOS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,27,27
BOLIVAR,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,6,6
BOLPEBRA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,7,7
BOYUIBE,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,7,7
BUENA VISTA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,13,13
CABEZAS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,8,8
CAIROMA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,4,4
"CAIZA ""D""",vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,23,23
CAJUATA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,7,7
CALAMARCA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,9,9
CAMARGO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,15,15
CAMATAQUI (C. VILLA ABECIA),vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,3,3
CAMIRI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,26,26
CAPINOTA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,19,19
CARACOLLO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,22,22
CARANAVI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,25,25
CARAPARI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,10,10
CARIPUYO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,8,8
CARMEN RIVERO TORREZ,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,8,8
CATACORA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,7,7
CHALLAPATA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,30,30
CHARAGUA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,11,11
CHAYANTA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,26,26
CHIMORE,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,7,7
CHOQUE COTA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,12,12
CHUMA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,9,9
CLIZA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,4,4
COBIJA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,15,15
COCHABAMBA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,127,127
COLCAPIRHUA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,28,28
"COLCHA ""K""",vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,3,3
COLLANA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,2,2
COLOMI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,11,11
COLPA BELGICA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,4,4
COLQUECHACA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,59,59
COLQUENCHA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,15,15
COLQUIRI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,8,8
COMARAPA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,19,19
COPACABANA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,23,23
CORIPATA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,13,13
COROICO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,20,20
CORQUE,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,1,1
COTAGAITA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,14,14
COTOCA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,24,24
CUATRO CAÑADAS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,2,2
CUCHUMUELA (V. G. VILLARROEL),vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,5,5
CUEVO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,5,5
CULPINA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,19,19
CURAHUARA DE CARANGAS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,1,1
CURVA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,5,5
DESAGUADERO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,3,3
EL ALTO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,238,238
EL CHORO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,3,3
EL PUENTE(STC),vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,5,5
EL PUENTE(TJA),vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,18,18
EL VILLAR,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,1,1
ENTRE RIOS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,22,22
ENTRE RIOS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,37,37
EUCALIPTUS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,2,2
EUREKA (SANTOS MERCADO),vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,1,1
EXALTACION,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,1,1
FERNANDEZ ALONSO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,7,7
FILADELFIA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,6,6
GENERAL SAAVEDRA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,13,13
GUANAY,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,5,5
GUAQUI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,1,1
GUAYARAMERIN,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,13,13
GUTIERREZ,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,27,27
HUACARETA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,12,12
HUANUNI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,8,8
HUAYLLAMARCA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,1,1
ICHOCA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,8,8
ICLA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,6,6
INCAHUASI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,47,47
INGAVI (HUMAITA),vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,7,7
INQUISIVI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,26,26
