municipality,group,variable,month,Total 13.9 Días camas disponibles maternidad,TOTAL
ACACIO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,31,31
ACHACACHI,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,341,341
ACHOCALLA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,62,62
AIQUILE,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,527,527
ALALAY,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,124,124
ALCALA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,124,124
ALTO BENI,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,155,155
ANCORAIMES,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,92,92
APOLO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,93,93
ARAMPAMPA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,31,31
ARANI,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,217,217
ARBIETO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,186,186
ARQUE,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,244,244
ASCENCION DE GUARAYOS,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,279,279
ATOCHA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,496,496
AYATA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,62,62
AYO AYO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,93,93
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,806,806
AZURDUY,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,198,198
BAURES,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,62,62
BERMEJO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,380,380
BETANZOS,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,248,248
BOLIVAR,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,124,124
BOYUIBE,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,124,124
BUENA VISTA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,463,463
CABEZAS,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,124,124
CAIROMA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,186,186
"CAIZA ""D""",internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,62,62
CAJUATA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,153,153
CALACOTO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,31,31
CALAMARCA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,124,124
CAMARGO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,403,403
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,93,93
CAMIRI,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,589,589
CAPINOTA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,277,277
CAQUIAVIRI,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,62,62
CARACOLLO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,124,124
CARANAVI,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,341,341
CARIPUYO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,31,31
CARMEN RIVERO TORREZ,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,145,145
CHALLAPATA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,248,248
CHAQUI,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,31,31
CHARAGUA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,180,180
CHAYANTA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,62,62
CHIMORE,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,341,341
CHIPAYA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,62,62
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,217,217
CHUMA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,31,31
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,16,16
CKOCHAS,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,31,31
CLIZA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,341,341
COBIJA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,1073,1073
COCAPATA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,246,246
COCHABAMBA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,11284,11284
COIPASA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,62,62
COLCAPIRHUA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,421,421
"COLCHA ""K""",internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,62,62
COLOMI,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,372,372
COLPA BELGICA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,62,62
