municipality,group,variable,month,Total 13.7 Días camas ocupadas maternidad,TOTAL
ACACIO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,5,5
ACHACACHI,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,73,73
ACHOCALLA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,7,7
AIQUILE,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,39,39
ALALAY,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,3,3
ALCALA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,8,8
ALTO BENI,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,24,24
ANCORAIMES,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,6,6
APOLO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,17,17
ARANI,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,13,13
ARBIETO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,10,10
ASCENCION DE GUARAYOS,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,201,201
ATOCHA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,73,73
AYATA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,2,2
AYO AYO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,33,33
AZURDUY,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,15,15
BAURES,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,29,29
BELLA FLOR,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,1,1
BERMEJO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,126,126
BETANZOS,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,52,52
BOLIVAR,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,3,3
BOYUIBE,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,4,4
BUENA VISTA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,14,14
CABEZAS,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,21,21
CAIROMA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,8,8
"CAIZA ""D""",internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,7,7
CAJUATA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,25,25
CALACOTO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,4,4
CALAMARCA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,18,18
CAMARGO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,200,200
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,7,7
CAMIRI,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,345,345
CAPINOTA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,26,26
CAQUIAVIRI,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,2,2
CARACOLLO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,33,33
CARANAVI,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,151,151
CARMEN RIVERO TORREZ,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,7,7
CHALLAPATA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,110,110
CHARAGUA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,113,113
CHAYANTA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,24,24
CHIMORE,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,26,26
CHIPAYA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,92,92
CHUMA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,3,3
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,14,14
CKOCHAS,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,2,2
CLIZA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,120,120
COBIJA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,671,671
