municipality,group,variable,month,Nº de reuniones realizadas con Comités Loc. de Salud,TOTAL
ANZALDO,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,2,2
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,4,4
AUCAPATA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,1,1
BATALLAS,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,1,1
BAURES,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,1,1
BELLA FLOR,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,1,1
BERMEJO,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,2,2
BETANZOS,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,1,1
BUENA VISTA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,6,6
CABEZAS,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,2,2
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,4,4
CAMARGO,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,1,1
CAMIRI,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,92,92
CAPINOTA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,3,3
CHARAGUA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,1,1
CHAYANTA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,1,1
CHIMORE,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,5,5
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,2,2
CKOCHAS,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,14,14
CLIZA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,2,2
COBIJA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,4,4
COCAPATA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,1,1
"COLCHA ""K""",actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,3,3
COLQUECHACA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,2,2
CONCEPCION,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,1,1
COROICO,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,1,1
COTAGAITA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,12,12
COTOCA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,2,2
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,2,2
CUEVO,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,125,125
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,1,1
EL TORNO,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,3,3
EL VILLAR,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,1,1
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,4,4
ESCARA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,1,1
EUREKA (SANTOS MERCADO),actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,1,1
FILADELFIA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,16,16
INCAHUASI,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,1,1
IXIAMAS,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,1,1
LA ASUNTA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,2,2
LA GUARDIA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,4,4
LA PAZ,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,6,6
LORETO,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,4,4
MAGDALENA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,2,2
MECAPACA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,1,1
MONTEAGUDO,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,4,4
MONTERO,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,3,3
ORURO,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,2,2
PADCAYA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,5,5
PAILON,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,51,51
PALOS BLANCOS,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,1,1
PASORAPA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,1,1
POCOATA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,5,5
POROMA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,2,2
PORONGO,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,4,4
PORVENIR,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,1,1
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,1,1
PUERTO GONZALO MORENO,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,1,1
PUERTO RICO,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,1,1
PUERTO SUAREZ,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,86,86
PUNA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,9,9
PUNATA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,2,2
QUILLACOLLO,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,6,6
RIBERALTA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,8,8
RURRENABAQUE,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,1,1
SACABAMBA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,2,2
SACACA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,2,2
SAN AGUSTIN,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,1,1
SAN ANDRES,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,1,1
SAN ANTONIO DE ESMORUCO,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,1,1
SAN BENITO,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,2,2
SAN BORJA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2018-01-01,3,3
