municipality,group,variable,month,Nº de actividades educativas en Salud,TOTAL
ACACIO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
ACHACACHI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
AIQUILE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,2,2
ALALAY,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,4,4
ALCALA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,19,19
ALTO BENI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,3,3
ANCORAIMES,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
ANDAMARCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,80,80
ANTEQUERA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,3,3
ANZALDO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,2,2
ARAMPAMPA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,17,17
ARANI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
ARBIETO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,8,8
ARQUE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,3,3
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,22,22
ATOCHA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
AUCAPATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
AYO AYO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,20,20
AZURDUY,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,9,9
BATALLAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,18,18
BERMEJO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
BETANZOS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,40,40
BOLIVAR,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,8,8
BOYUIBE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
BUENA VISTA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,2,2
CABEZAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,9,9
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,15,15
CALACOTO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
