municipality,group,variable,month,Nº de reuniones realizadas con autoridades locales de salud,TOTAL
ACHACACHI,actividades del establecimiento y con la comunidad,no de reuniones realizadas con autoridades locales de salud,2018-01-01,3,3
ACHOCALLA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con autoridades locales de salud,2018-01-01,2,2
ALALAY,actividades del establecimiento y con la comunidad,no de reuniones realizadas con autoridades locales de salud,2018-01-01,1,1
ALTO BENI,actividades del establecimiento y con la comunidad,no de reuniones realizadas con autoridades locales de salud,2018-01-01,2,2
ANCORAIMES,actividades del establecimiento y con la comunidad,no de reuniones realizadas con autoridades locales de salud,2018-01-01,1,1
ANDAMARCA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con autoridades locales de salud,2018-01-01,2,2
ANTEQUERA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con autoridades locales de salud,2018-01-01,1,1
ANZALDO,actividades del establecimiento y con la comunidad,no de reuniones realizadas con autoridades locales de salud,2018-01-01,1,1
ARAMPAMPA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con autoridades locales de salud,2018-01-01,1,1
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de reuniones realizadas con autoridades locales de salud,2018-01-01,3,3
AYATA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con autoridades locales de salud,2018-01-01,1,1
AYO AYO,actividades del establecimiento y con la comunidad,no de reuniones realizadas con autoridades locales de salud,2018-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,no de reuniones realizadas con autoridades locales de salud,2018-01-01,1,1
AZURDUY,actividades del establecimiento y con la comunidad,no de reuniones realizadas con autoridades locales de salud,2018-01-01,2,2
BATALLAS,actividades del establecimiento y con la comunidad,no de reuniones realizadas con autoridades locales de salud,2018-01-01,1,1
BAURES,actividades del establecimiento y con la comunidad,no de reuniones realizadas con autoridades locales de salud,2018-01-01,1,1
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,no de reuniones realizadas con autoridades locales de salud,2018-01-01,1,1
BELLA FLOR,actividades del establecimiento y con la comunidad,no de reuniones realizadas con autoridades locales de salud,2018-01-01,1,1
BERMEJO,actividades del establecimiento y con la comunidad,no de reuniones realizadas con autoridades locales de salud,2018-01-01,3,3
BETANZOS,actividades del establecimiento y con la comunidad,no de reuniones realizadas con autoridades locales de salud,2018-01-01,23,23
BOLIVAR,actividades del establecimiento y con la comunidad,no de reuniones realizadas con autoridades locales de salud,2018-01-01,1,1
BUENA VISTA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con autoridades locales de salud,2018-01-01,2,2
CABEZAS,actividades del establecimiento y con la comunidad,no de reuniones realizadas con autoridades locales de salud,2018-01-01,3,3
CAIROMA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con autoridades locales de salud,2018-01-01,1,1
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de reuniones realizadas con autoridades locales de salud,2018-01-01,6,6
CALAMARCA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con autoridades locales de salud,2018-01-01,2,2
CAMARGO,actividades del establecimiento y con la comunidad,no de reuniones realizadas con autoridades locales de salud,2018-01-01,4,4
CAMIRI,actividades del establecimiento y con la comunidad,no de reuniones realizadas con autoridades locales de salud,2018-01-01,3,3
CAPINOTA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con autoridades locales de salud,2018-01-01,11,11
CAQUIAVIRI,actividades del establecimiento y con la comunidad,no de reuniones realizadas con autoridades locales de salud,2018-01-01,2,2
CARANAVI,actividades del establecimiento y con la comunidad,no de reuniones realizadas con autoridades locales de salud,2018-01-01,4,4
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,no de reuniones realizadas con autoridades locales de salud,2018-01-01,1,1
CHACARILLA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con autoridades locales de salud,2018-01-01,2,2
CHALLAPATA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con autoridades locales de salud,2018-01-01,3,3
CHAQUI,actividades del establecimiento y con la comunidad,no de reuniones realizadas con autoridades locales de salud,2018-01-01,3,3
CHARAGUA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con autoridades locales de salud,2018-01-01,1,1
CHAYANTA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con autoridades locales de salud,2018-01-01,4,4
CHIMORE,actividades del establecimiento y con la comunidad,no de reuniones realizadas con autoridades locales de salud,2018-01-01,5,5
CHUMA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con autoridades locales de salud,2018-01-01,1,1
