municipality,group,variable,month,Nº de visitas familiares realizadas,TOTAL
ACACIO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,62,62
ACHACACHI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,132,132
ACHOCALLA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,4,4
AIQUILE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,261,261
ALALAY,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,127,127
ALCALA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,89,89
ALTO BENI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,38,38
ANCORAIMES,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,46,46
ANDAMARCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,284,284
ANTEQUERA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,81,81
ANZALDO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,265,265
APOLO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,14,14
ARAMPAMPA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,143,143
ARANI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,126,126
ARBIETO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,415,415
ARQUE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,199,199
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,118,118
ATOCHA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,182,182
AYATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,3,3
AYO AYO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,106,106
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,203,203
AZURDUY,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,111,111
BATALLAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,74,74
BAURES,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,63,63
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,74,74
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,24,24
BELLA FLOR,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,44,44
BERMEJO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,282,282
BETANZOS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,608,608
BOLIVAR,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,103,103
BOYUIBE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,251,251
BUENA VISTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,315,315
CABEZAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,410,410
CAIROMA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,10,10
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,278,278
CAJUATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,10,10
CALACOTO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,5,5
CALAMARCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,31,31
CAMARGO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,108,108
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,43,43
