municipality,group,variable,month,N°de visitas familiares planificadas,TOTAL
ACACIO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2018-01-01,47,47
ACHACACHI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2018-01-01,66,66
AIQUILE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2018-01-01,289,289
ALALAY,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2018-01-01,62,62
ALCALA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2018-01-01,89,89
ALTO BENI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2018-01-01,25,25
ANCORAIMES,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2018-01-01,5,5
ANDAMARCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2018-01-01,97,97
ANTEQUERA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2018-01-01,119,119
ANZALDO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2018-01-01,155,155
APOLO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2018-01-01,9,9
ARAMPAMPA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2018-01-01,112,112
ARANI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2018-01-01,133,133
ARBIETO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2018-01-01,307,307
ARQUE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2018-01-01,54,54
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2018-01-01,49,49
ATOCHA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2018-01-01,76,76
AYO AYO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2018-01-01,115,115
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2018-01-01,224,224
AZURDUY,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2018-01-01,107,107
BATALLAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2018-01-01,60,60
BAURES,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2018-01-01,70,70
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2018-01-01,69,69
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2018-01-01,18,18
BELLA FLOR,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2018-01-01,55,55
BERMEJO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2018-01-01,121,121
BETANZOS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2018-01-01,882,882
BOYUIBE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2018-01-01,5,5
BUENA VISTA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2018-01-01,344,344
CABEZAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2018-01-01,391,391
CAIROMA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2018-01-01,20,20
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2018-01-01,122,122
CALAMARCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2018-01-01,55,55
CAMARGO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2018-01-01,103,103
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2018-01-01,27,27
CAMIRI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2018-01-01,543,543
CAPINOTA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2018-01-01,104,104
CAQUIAVIRI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2018-01-01,100,100
