municipality,group,variable,month,N°de actividades de la comunidad con participación del establecimiento,TOTAL
ACACIO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2018-01-01,19,19
ACHACACHI,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2018-01-01,3,3
ALALAY,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2018-01-01,1,1
ALCALA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2018-01-01,11,11
ALTO BENI,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2018-01-01,3,3
ANCORAIMES,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2018-01-01,1,1
ANDAMARCA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2018-01-01,7,7
ANTEQUERA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2018-01-01,1,1
ANZALDO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2018-01-01,3,3
APOLO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2018-01-01,7,7
ARAMPAMPA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2018-01-01,21,21
ARANI,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2018-01-01,7,7
ARBIETO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2018-01-01,3,3
ARQUE,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2018-01-01,9,9
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2018-01-01,1,1
ATOCHA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2018-01-01,1,1
AUCAPATA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2018-01-01,2,2
AYO AYO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2018-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2018-01-01,3,3
AZURDUY,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2018-01-01,26,26
BATALLAS,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2018-01-01,1,1
BAURES,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2018-01-01,16,16
BELLA FLOR,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2018-01-01,1,1
BETANZOS,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2018-01-01,74,74
BOLIVAR,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2018-01-01,4,4
BUENA VISTA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2018-01-01,1,1
CABEZAS,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2018-01-01,3,3
CAIROMA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2018-01-01,2,2
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2018-01-01,11,11
