municipality,group,variable,month,Nº de actividades realizadas con participación de la comunidad,TOTAL
ACACIO,actividades del establecimiento y con la comunidad,no de actividades realizadas con participacion de la comunidad,2018-01-01,10,10
ACHACACHI,actividades del establecimiento y con la comunidad,no de actividades realizadas con participacion de la comunidad,2018-01-01,7,7
ACHOCALLA,actividades del establecimiento y con la comunidad,no de actividades realizadas con participacion de la comunidad,2018-01-01,2,2
AIQUILE,actividades del establecimiento y con la comunidad,no de actividades realizadas con participacion de la comunidad,2018-01-01,29,29
ALALAY,actividades del establecimiento y con la comunidad,no de actividades realizadas con participacion de la comunidad,2018-01-01,6,6
ALCALA,actividades del establecimiento y con la comunidad,no de actividades realizadas con participacion de la comunidad,2018-01-01,19,19
ALTO BENI,actividades del establecimiento y con la comunidad,no de actividades realizadas con participacion de la comunidad,2018-01-01,7,7
ANCORAIMES,actividades del establecimiento y con la comunidad,no de actividades realizadas con participacion de la comunidad,2018-01-01,3,3
ANDAMARCA,actividades del establecimiento y con la comunidad,no de actividades realizadas con participacion de la comunidad,2018-01-01,83,83
ANTEQUERA,actividades del establecimiento y con la comunidad,no de actividades realizadas con participacion de la comunidad,2018-01-01,5,5
ANZALDO,actividades del establecimiento y con la comunidad,no de actividades realizadas con participacion de la comunidad,2018-01-01,5,5
ARAMPAMPA,actividades del establecimiento y con la comunidad,no de actividades realizadas con participacion de la comunidad,2018-01-01,19,19
ARANI,actividades del establecimiento y con la comunidad,no de actividades realizadas con participacion de la comunidad,2018-01-01,1,1
ARBIETO,actividades del establecimiento y con la comunidad,no de actividades realizadas con participacion de la comunidad,2018-01-01,8,8
ARQUE,actividades del establecimiento y con la comunidad,no de actividades realizadas con participacion de la comunidad,2018-01-01,4,4
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de actividades realizadas con participacion de la comunidad,2018-01-01,2,2
ATOCHA,actividades del establecimiento y con la comunidad,no de actividades realizadas con participacion de la comunidad,2018-01-01,1,1
AUCAPATA,actividades del establecimiento y con la comunidad,no de actividades realizadas con participacion de la comunidad,2018-01-01,2,2
AYATA,actividades del establecimiento y con la comunidad,no de actividades realizadas con participacion de la comunidad,2018-01-01,1,1
AYO AYO,actividades del establecimiento y con la comunidad,no de actividades realizadas con participacion de la comunidad,2018-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,no de actividades realizadas con participacion de la comunidad,2018-01-01,27,27
AZURDUY,actividades del establecimiento y con la comunidad,no de actividades realizadas con participacion de la comunidad,2018-01-01,27,27
BATALLAS,actividades del establecimiento y con la comunidad,no de actividades realizadas con participacion de la comunidad,2018-01-01,3,3
BAURES,actividades del establecimiento y con la comunidad,no de actividades realizadas con participacion de la comunidad,2018-01-01,2,2
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,no de actividades realizadas con participacion de la comunidad,2018-01-01,19,19
BELLA FLOR,actividades del establecimiento y con la comunidad,no de actividades realizadas con participacion de la comunidad,2018-01-01,2,2
BERMEJO,actividades del establecimiento y con la comunidad,no de actividades realizadas con participacion de la comunidad,2018-01-01,4,4
BETANZOS,actividades del establecimiento y con la comunidad,no de actividades realizadas con participacion de la comunidad,2018-01-01,90,90
BOLIVAR,actividades del establecimiento y con la comunidad,no de actividades realizadas con participacion de la comunidad,2018-01-01,11,11
BOYUIBE,actividades del establecimiento y con la comunidad,no de actividades realizadas con participacion de la comunidad,2018-01-01,4,4
