municipality,group,variable,month,Inyectables,TOTAL
ACACIO,otras actividades de enfermeria,inyectables,2015-01-01,206,206
ACHACACHI,otras actividades de enfermeria,inyectables,2015-01-01,269,269
ACHOCALLA,otras actividades de enfermeria,inyectables,2015-01-01,197,197
AIQUILE,otras actividades de enfermeria,inyectables,2015-01-01,1073,1073
ALALAY,otras actividades de enfermeria,inyectables,2015-01-01,42,42
ALCALA,otras actividades de enfermeria,inyectables,2015-01-01,307,307
ALTO BENI,otras actividades de enfermeria,inyectables,2015-01-01,230,230
ANCORAIMES,otras actividades de enfermeria,inyectables,2015-01-01,178,178
ANDAMARCA,otras actividades de enfermeria,inyectables,2015-01-01,175,175
ANTEQUERA,otras actividades de enfermeria,inyectables,2015-01-01,136,136
ANZALDO,otras actividades de enfermeria,inyectables,2015-01-01,194,194
APOLO,otras actividades de enfermeria,inyectables,2015-01-01,348,348
ARAMPAMPA,otras actividades de enfermeria,inyectables,2015-01-01,78,78
ARANI,otras actividades de enfermeria,inyectables,2015-01-01,158,158
ARBIETO,otras actividades de enfermeria,inyectables,2015-01-01,301,301
ARQUE,otras actividades de enfermeria,inyectables,2015-01-01,209,209
ASCENCION DE GUARAYOS,otras actividades de enfermeria,inyectables,2015-01-01,5339,5339
ATOCHA,otras actividades de enfermeria,inyectables,2015-01-01,3784,3784
AUCAPATA,otras actividades de enfermeria,inyectables,2015-01-01,103,103
AYATA,otras actividades de enfermeria,inyectables,2015-01-01,174,174
AYO AYO,otras actividades de enfermeria,inyectables,2015-01-01,51,51
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,inyectables,2015-01-01,852,852
AZURDUY,otras actividades de enfermeria,inyectables,2015-01-01,215,215
BATALLAS,otras actividades de enfermeria,inyectables,2015-01-01,237,237
BAURES,otras actividades de enfermeria,inyectables,2015-01-01,504,504
BELEN DE ANDAMARCA,otras actividades de enfermeria,inyectables,2015-01-01,58,58
BELEN DE URMIRI,otras actividades de enfermeria,inyectables,2015-01-01,34,34
BELLA FLOR,otras actividades de enfermeria,inyectables,2015-01-01,113,113
BERMEJO,otras actividades de enfermeria,inyectables,2015-01-01,9723,9723
BETANZOS,otras actividades de enfermeria,inyectables,2015-01-01,2093,2093
