municipality,group,variable,month,Otras actividades,TOTAL
ACACIO,otras actividades de enfermeria,otras actividades,2015-01-01,3,3
ACHACACHI,otras actividades de enfermeria,otras actividades,2015-01-01,12,12
ACHOCALLA,otras actividades de enfermeria,otras actividades,2015-01-01,5,5
AIQUILE,otras actividades de enfermeria,otras actividades,2015-01-01,9,9
ALALAY,otras actividades de enfermeria,otras actividades,2015-01-01,2,2
ALCALA,otras actividades de enfermeria,otras actividades,2015-01-01,6,6
ALTO BENI,otras actividades de enfermeria,otras actividades,2015-01-01,10,10
ANCORAIMES,otras actividades de enfermeria,otras actividades,2015-01-01,6,6
ANDAMARCA,otras actividades de enfermeria,otras actividades,2015-01-01,19,19
ARANI,otras actividades de enfermeria,otras actividades,2015-01-01,1,1
ARBIETO,otras actividades de enfermeria,otras actividades,2015-01-01,1,1
ASCENCION DE GUARAYOS,otras actividades de enfermeria,otras actividades,2015-01-01,1179,1179
ATOCHA,otras actividades de enfermeria,otras actividades,2015-01-01,2838,2838
AYATA,otras actividades de enfermeria,otras actividades,2015-01-01,16,16
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,otras actividades,2015-01-01,2,2
AZURDUY,otras actividades de enfermeria,otras actividades,2015-01-01,1,1
BATALLAS,otras actividades de enfermeria,otras actividades,2015-01-01,14,14
BAURES,otras actividades de enfermeria,otras actividades,2015-01-01,69,69
BERMEJO,otras actividades de enfermeria,otras actividades,2015-01-01,8893,8893
BETANZOS,otras actividades de enfermeria,otras actividades,2015-01-01,37,37
BOYUIBE,otras actividades de enfermeria,otras actividades,2015-01-01,37,37
BUENA VISTA,otras actividades de enfermeria,otras actividades,2015-01-01,32,32
CABEZAS,otras actividades de enfermeria,otras actividades,2015-01-01,89,89
CAIROMA,otras actividades de enfermeria,otras actividades,2015-01-01,3,3
"CAIZA ""D""",otras actividades de enfermeria,otras actividades,2015-01-01,18,18
CAJUATA,otras actividades de enfermeria,otras actividades,2015-01-01,5,5
CALACOTO,otras actividades de enfermeria,otras actividades,2015-01-01,4,4
CALAMARCA,otras actividades de enfermeria,otras actividades,2015-01-01,1,1
CAMARGO,otras actividades de enfermeria,otras actividades,2015-01-01,6,6
CAMIRI,otras actividades de enfermeria,otras actividades,2015-01-01,10872,10872
CAPINOTA,otras actividades de enfermeria,otras actividades,2015-01-01,7,7
CAQUIAVIRI,otras actividades de enfermeria,otras actividades,2015-01-01,6,6
CARACOLLO,otras actividades de enfermeria,otras actividades,2015-01-01,2,2
CARANAVI,otras actividades de enfermeria,otras actividades,2015-01-01,11108,11108
CARAPARI,otras actividades de enfermeria,otras actividades,2015-01-01,47,47
CARIPUYO,otras actividades de enfermeria,otras actividades,2015-01-01,1,1
CHALLAPATA,otras actividades de enfermeria,otras actividades,2015-01-01,1896,1896
CHAQUI,otras actividades de enfermeria,otras actividades,2015-01-01,1,1
CHARAGUA,otras actividades de enfermeria,otras actividades,2015-01-01,35,35
CHARAÑA,otras actividades de enfermeria,otras actividades,2015-01-01,1,1
CHIMORE,otras actividades de enfermeria,otras actividades,2015-01-01,42,42
CHOQUE COTA,otras actividades de enfermeria,otras actividades,2015-01-01,1,1
CHUA COCANI,otras actividades de enfermeria,otras actividades,2015-01-01,3,3
CHUMA,otras actividades de enfermeria,otras actividades,2015-01-01,14,14
CLIZA,otras actividades de enfermeria,otras actividades,2015-01-01,34,34
COBIJA,otras actividades de enfermeria,otras actividades,2015-01-01,184,184
COCHABAMBA,otras actividades de enfermeria,otras actividades,2015-01-01,4472,4472
COLCAPIRHUA,otras actividades de enfermeria,otras actividades,2015-01-01,37,37
"COLCHA ""K""",otras actividades de enfermeria,otras actividades,2015-01-01,5,5
COLLANA,otras actividades de enfermeria,otras actividades,2015-01-01,2,2
COLOMI,otras actividades de enfermeria,otras actividades,2015-01-01,114,114
COLPA BELGICA,otras actividades de enfermeria,otras actividades,2015-01-01,9,9
COLQUECHACA,otras actividades de enfermeria,otras actividades,2015-01-01,38,38
COLQUENCHA,otras actividades de enfermeria,otras actividades,2015-01-01,2,2
COLQUIRI,otras actividades de enfermeria,otras actividades,2015-01-01,4,4
