municipality,group,variable,month,Sueros,TOTAL
ACACIO,otras actividades de enfermeria,sueros,2015-01-01,8,8
ACHACACHI,otras actividades de enfermeria,sueros,2015-01-01,16,16
ACHOCALLA,otras actividades de enfermeria,sueros,2015-01-01,9,9
AIQUILE,otras actividades de enfermeria,sueros,2015-01-01,108,108
ALALAY,otras actividades de enfermeria,sueros,2015-01-01,6,6
ALCALA,otras actividades de enfermeria,sueros,2015-01-01,16,16
ALTO BENI,otras actividades de enfermeria,sueros,2015-01-01,4,4
ANCORAIMES,otras actividades de enfermeria,sueros,2015-01-01,10,10
ANDAMARCA,otras actividades de enfermeria,sueros,2015-01-01,16,16
ANTEQUERA,otras actividades de enfermeria,sueros,2015-01-01,1,1
ANZALDO,otras actividades de enfermeria,sueros,2015-01-01,8,8
APOLO,otras actividades de enfermeria,sueros,2015-01-01,34,34
ARAMPAMPA,otras actividades de enfermeria,sueros,2015-01-01,11,11
ARANI,otras actividades de enfermeria,sueros,2015-01-01,6,6
ARBIETO,otras actividades de enfermeria,sueros,2015-01-01,9,9
ARQUE,otras actividades de enfermeria,sueros,2015-01-01,21,21
ASCENCION DE GUARAYOS,otras actividades de enfermeria,sueros,2015-01-01,421,421
ATOCHA,otras actividades de enfermeria,sueros,2015-01-01,389,389
AUCAPATA,otras actividades de enfermeria,sueros,2015-01-01,5,5
AYATA,otras actividades de enfermeria,sueros,2015-01-01,8,8
AYO AYO,otras actividades de enfermeria,sueros,2015-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,sueros,2015-01-01,66,66
AZURDUY,otras actividades de enfermeria,sueros,2015-01-01,13,13
BATALLAS,otras actividades de enfermeria,sueros,2015-01-01,27,27
BAURES,otras actividades de enfermeria,sueros,2015-01-01,62,62
BELEN DE ANDAMARCA,otras actividades de enfermeria,sueros,2015-01-01,4,4
BELEN DE URMIRI,otras actividades de enfermeria,sueros,2015-01-01,1,1
BELLA FLOR,otras actividades de enfermeria,sueros,2015-01-01,10,10
BERMEJO,otras actividades de enfermeria,sueros,2015-01-01,2442,2442
