,group,variable,month,Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACACIO,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,4,4
ACHACACHI,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,56,56
AIQUILE,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,34,34
ALCALA,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,2,2
ALTO BENI,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,8,8
ANDAMARCA,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,5,5
ANTEQUERA,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,2,2
ANZALDO,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,9,9
ARANI,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,9,9
ARBIETO,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,31,31
ARQUE,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,5,5
ASCENCION DE GUARAYOS,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,115,115
ATOCHA,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,6,6
AYATA,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,4,4
AYOPAYA (V. DE INDEPENDENCIA),vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,29,29
AZURDUY,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,17,17
BELLA FLOR,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,6,6
BERMEJO,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,110,110
BETANZOS,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,47,47
BOLIVAR,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,5,5
BOLPEBRA,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,1,1
BUENA VISTA,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,37,37
CABEZAS,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,37,37
CAIROMA,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,5,5
"CAIZA ""D""",vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,6,6
CAMARGO,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,18,18
CAMATAQUI (C. VILLA ABECIA),vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,3,3
CAMIRI,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,10,10
CAPINOTA,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,47,47
CARACOLLO,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,19,19
CARANAVI,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,161,161
CARAPARI,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,34,34
CARIPUYO,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,2,2
CARMEN RIVERO TORREZ,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,1,1
CHALLAPATA,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,140,140
CHAQUI,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,18,18
CHARAGUA,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,53,53
CHAYANTA,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,7,7
CHIMORE,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,64,64
CHIPAYA,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,3,3
CHULUMANI (V. DE LA LIBERTAD),vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,28,28
CHUMA,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,5,5
CKOCHAS,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,6,6
CLIZA,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,73,73
COBIJA,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,36,36
COCAPATA,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,16,16
COCHABAMBA,vih,no de mujeres embarazadas con prueba rapida,2021-01-01,0,1455,1455
