,group,variable,month,Nº DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,Nº DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,vih,no de personas con prueba rapida,2021-01-01,27,25,52
AIQUILE,vih,no de personas con prueba rapida,2021-01-01,3,13,16
ALALAY,vih,no de personas con prueba rapida,2021-01-01,0,1,1
ALCALA,vih,no de personas con prueba rapida,2021-01-01,1,1,2
ANTEQUERA,vih,no de personas con prueba rapida,2021-01-01,1,0,1
ARANI,vih,no de personas con prueba rapida,2021-01-01,0,1,1
ARBIETO,vih,no de personas con prueba rapida,2021-01-01,5,8,13
ARQUE,vih,no de personas con prueba rapida,2021-01-01,2,2,4
ASCENCION DE GUARAYOS,vih,no de personas con prueba rapida,2021-01-01,20,63,83
ATOCHA,vih,no de personas con prueba rapida,2021-01-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vih,no de personas con prueba rapida,2021-01-01,4,13,17
AZURDUY,vih,no de personas con prueba rapida,2021-01-01,1,35,36
BELEN DE ANDAMARCA,vih,no de personas con prueba rapida,2021-01-01,0,1,1
BERMEJO,vih,no de personas con prueba rapida,2021-01-01,12,9,21
BETANZOS,vih,no de personas con prueba rapida,2021-01-01,1,1,2
BUENA VISTA,vih,no de personas con prueba rapida,2021-01-01,1,1,2
CABEZAS,vih,no de personas con prueba rapida,2021-01-01,4,3,7
"CAIZA ""D""",vih,no de personas con prueba rapida,2021-01-01,3,0,3
CAJUATA,vih,no de personas con prueba rapida,2021-01-01,2,6,8
CAMARGO,vih,no de personas con prueba rapida,2021-01-01,6,17,23
CAMATAQUI (C. VILLA ABECIA),vih,no de personas con prueba rapida,2021-01-01,0,3,3
CAMIRI,vih,no de personas con prueba rapida,2021-01-01,2,1,3
CAPINOTA,vih,no de personas con prueba rapida,2021-01-01,1,5,6
CARACOLLO,vih,no de personas con prueba rapida,2021-01-01,0,5,5
CARANAVI,vih,no de personas con prueba rapida,2021-01-01,52,50,102
CARAPARI,vih,no de personas con prueba rapida,2021-01-01,1,2,3
CHALLAPATA,vih,no de personas con prueba rapida,2021-01-01,7,21,28
CHAQUI,vih,no de personas con prueba rapida,2021-01-01,0,1,1
CHARAGUA,vih,no de personas con prueba rapida,2021-01-01,2,5,7
CHAYANTA,vih,no de personas con prueba rapida,2021-01-01,1,0,1
CHIMORE,vih,no de personas con prueba rapida,2021-01-01,20,20,40
CHULUMANI (V. DE LA LIBERTAD),vih,no de personas con prueba rapida,2021-01-01,8,8,16
CHUMA,vih,no de personas con prueba rapida,2021-01-01,2,2,4
CKOCHAS,vih,no de personas con prueba rapida,2021-01-01,0,3,3
CLIZA,vih,no de personas con prueba rapida,2021-01-01,4,4,8
COBIJA,vih,no de personas con prueba rapida,2021-01-01,13,25,38
COCHABAMBA,vih,no de personas con prueba rapida,2021-01-01,713,1368,2081
COLCAPIRHUA,vih,no de personas con prueba rapida,2021-01-01,29,50,79
COLOMI,vih,no de personas con prueba rapida,2021-01-01,2,7,9
COLPA BELGICA,vih,no de personas con prueba rapida,2021-01-01,4,2,6
COLQUECHACA,vih,no de personas con prueba rapida,2021-01-01,2,5,7
COLQUENCHA,vih,no de personas con prueba rapida,2021-01-01,0,3,3
COMARAPA,vih,no de personas con prueba rapida,2021-01-01,1,5,6
CONCEPCION,vih,no de personas con prueba rapida,2021-01-01,7,10,17
CORIPATA,vih,no de personas con prueba rapida,2021-01-01,2,3,5
COROICO,vih,no de personas con prueba rapida,2021-01-01,10,9,19
CORQUE,vih,no de personas con prueba rapida,2021-01-01,0,1,1
COTOCA,vih,no de personas con prueba rapida,2021-01-01,26,21,47
CRUZ DE MACHACAMARCA,vih,no de personas con prueba rapida,2021-01-01,0,1,1
CUATRO CAÑADAS,vih,no de personas con prueba rapida,2021-01-01,10,38,48
CULPINA,vih,no de personas con prueba rapida,2021-01-01,1,20,21
CURVA,vih,no de personas con prueba rapida,2021-01-01,0,4,4
DESAGUADERO,vih,no de personas con prueba rapida,2021-01-01,3,0,3
EL ALTO,vih,no de personas con prueba rapida,2021-01-01,394,538,932
EL PUENTE(STC),vih,no de personas con prueba rapida,2021-01-01,1,2,3
EL TORNO,vih,no de personas con prueba rapida,2021-01-01,42,136,178
