municipality,group,variable,month,Nuevas en personas de 60 años o más -Hombre,Nuevas en personas de 60 años o más -Mujer,TOTAL-H,TOTAL-M,TOTAL
ACACIO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,19,42,19,42,61
ACHACACHI,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,168,161,168,161,329
ACHOCALLA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,29,33,29,33,62
AIQUILE,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,112,151,112,151,263
ALALAY,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,1,2,1,2,3
ALCALA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,24,53,24,53,77
ANCORAIMES,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,34,31,34,31,65
ANDAMARCA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,22,29,22,29,51
ANTEQUERA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,2,12,2,12,14
ANZALDO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,17,25,17,25,42
APOLO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,48,48,48,48,96
ARAMPAMPA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,7,13,7,13,20
ARANI,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,11,19,11,19,30
ARBIETO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,20,52,20,52,72
ARQUE,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,11,29,11,29,40
ASCENCION DE GUARAYOS,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,32,24,32,24,56
ATOCHA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,85,115,85,115,200
AUCAPATA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,4,10,4,10,14
AYATA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,20,28,20,28,48
AYO AYO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,17,19,17,19,36
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,58,59,58,59,117
AZURDUY,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,39,45,39,45,84
BATALLAS,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,47,29,47,29,76
BAURES,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,15,10,15,10,25
BELEN DE ANDAMARCA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,12,6,12,6,18
BELEN DE URMIRI,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,10,9,10,9,19
BELLA FLOR,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,6,2,6,2,8
BERMEJO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,328,305,328,305,633
BETANZOS,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,159,243,159,243,402
BOLIVAR,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,19,23,19,23,42
BOLPEBRA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,3,1,3,1,4
BOYUIBE,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,13,25,13,25,38
BUENA VISTA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,83,50,83,50,133
CABEZAS,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,33,39,33,39,72
CAIROMA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,41,42,41,42,83
"CAIZA ""D""",consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,44,98,44,98,142
CAJUATA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,36,43,36,43,79
CALACOTO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,30,34,30,34,64
CALAMARCA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,24,18,24,18,42
CAMARGO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,212,308,212,308,520
CAMATAQUI (C. VILLA ABECIA),consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,28,46,28,46,74
CAMIRI,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,664,997,664,997,1661
CAPINOTA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,41,65,41,65,106
CAQUIAVIRI,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,36,36,36,36,72
CARACOLLO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,138,89,138,89,227
CARANAVI,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,346,221,346,221,567
CARANGAS,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,7,3,7,3,10
CARAPARI,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,44,52,44,52,96
CARIPUYO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,12,16,12,16,28
CARMEN RIVERO TORREZ,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,1,3,1,3,4
CATACORA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,9,8,9,8,17
CHACARILLA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,3,1,3,1,4
CHALLAPATA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,140,102,140,102,242
CHAQUI,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,27,44,27,44,71
CHARAGUA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,43,46,43,46,89
CHARAÑA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,14,14,14,14,28
CHAYANTA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,67,90,67,90,157
CHIMORE,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,26,13,26,13,39
CHIPAYA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,8,8,8,8,16
CHOQUE COTA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,12,20,12,20,32
CHULUMANI (V. DE LA LIBERTAD),consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,58,29,58,29,87
CHUMA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,58,85,58,85,143
CLIZA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,23,35,23,35,58
COBIJA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,223,288,223,288,511
COCHABAMBA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,5370,6165,5370,6165,11535
COIPASA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,8,1,8,1,9
COLCAPIRHUA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,11,17,11,17,28
"COLCHA ""K""",consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,70,86,70,86,156
