municipality,group,variable,month,Repetidas en personas de 5 a 14 años -Hombre,Repetidas en personas de 5 a 14 años -Mujer,TOTAL-H,TOTAL-M,TOTAL
ACACIO,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,11,5,11,5,16
ACHACACHI,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,6,9,6,9,15
ACHOCALLA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,1,1,1,2
AIQUILE,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,4,14,4,14,18
ANCORAIMES,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,0,1,0,1
ANDAMARCA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,0,1,0,1
ANTEQUERA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,0,17,0,17,17
ANZALDO,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,1,1,1,2
APOLO,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,3,1,3,1,4
ARANI,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,0,4,0,4,4
ARBIETO,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,5,5,5,5,10
ARQUE,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,1,1,1,2
ASCENCION DE GUARAYOS,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,11,9,11,9,20
ATOCHA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,29,37,29,37,66
AYATA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,1,1,1,2
AYO AYO,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,12,1,12,13
BATALLAS,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,3,3,3,3,6
BAURES,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,1,1,1,2
BELEN DE URMIRI,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,1,1,1,2
BERMEJO,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,61,62,61,62,123
BETANZOS,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,3,1,3,4
BOYUIBE,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,7,2,7,2,9
BUENA VISTA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,7,13,7,13,20
CABEZAS,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,5,3,5,3,8
CAIROMA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,3,3,3,3,6
"CAIZA ""D""",consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,0,1,0,1,1
CAJUATA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,7,10,7,10,17
CALACOTO,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,2,1,2,1,3
CALAMARCA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,0,1,0,1
CAMARGO,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,4,5,4,5,9
CAMATAQUI (C. VILLA ABECIA),consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,5,4,5,4,9
CAMIRI,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,49,60,49,60,109
CAPINOTA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,11,18,11,18,29
CAQUIAVIRI,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,0,1,0,1
CARANAVI,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,35,35,35,35,70
CARAPARI,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,6,2,6,2,8
CHALLAPATA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,4,10,4,10,14
CHARAGUA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,3,8,3,8,11
CHARAÑA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,0,1,0,1
CHAYANTA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,1,1,1,2
CHIMORE,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,4,3,4,3,7
CHIPAYA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,46,98,46,98,144
CLIZA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,8,14,8,14,22
COBIJA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,29,36,29,36,65
COCHABAMBA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,2262,2229,2262,2229,4491
COLCAPIRHUA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,27,16,27,16,43
"COLCHA ""K""",consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,1,1,1,2
COLLANA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,1,1,1,2
COLOMI,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,5,1,5,1,6
COLPA BELGICA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,12,8,12,8,20
COLQUENCHA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,2,0,2,0,2
COLQUIRI,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,6,17,6,17,23
COMARAPA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,6,8,6,8,14
CORIPATA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,2,1,2,1,3
COROICO,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,17,8,17,8,25
CORQUE,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,1,1,1,2
COTAGAITA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,11,11,11,11,22
COTOCA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,10,4,10,4,14
CUATRO CAÑADAS,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,2,0,2,0,2
CUEVO,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,3,1,3,1,4
CULPINA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,0,1,0,1,1
CURAHUARA DE CARANGAS,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,2,2,2,2,4
DESAGUADERO,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,0,1,0,1
EL ALTO,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1715,1822,1715,1822,3537
EL CHORO,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,0,1,0,1,1
EL PUENTE(STC),consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,2,0,2,0,2
EL PUENTE(TJA),consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,9,8,9,8,17
EL TORNO,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,45,39,45,39,84
EL VILLAR,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,0,1,0,1
ENTRE RIOS,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,7,8,7,8,15
ENTRE RIOS,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,3,0,3,0,3
EUCALIPTUS,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,0,1,0,1
EXALTACION,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,2,1,2,1,3
FERNANDEZ ALONSO,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,5,1,5,6
FILADELFIA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,0,1,0,1,1
GENERAL SAAVEDRA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,15,44,15,44,59
GUAQUI,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,2,1,2,3
GUAYARAMERIN,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,103,16,103,16,119
GUTIERREZ,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,3,2,3,2,5
HUACARETA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,5,4,5,4,9
HUACHACALLA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,1,1,1,2
HUANUNI,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,146,164,146,164,310
HUARACAJE,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,0,1,0,1
HUAYLLAMARCA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,0,1,0,1,1
ICHOCA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,0,1,0,1,1
ICLA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,0,1,0,1,1
INGAVI (HUMAITA),consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,1,1,1,2
INQUISIVI,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,4,1,4,5
IRUPANA (VILLA DE LANZA),consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,1,1,1,2
IXIAMAS,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,3,1,3,4
LA ASUNTA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,0,1,0,1,1
LA GUARDIA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,14,18,14,18,32
