municipality,group,variable,month,Repetidas en personas de 15 a 59 años -Hombre,Repetidas en personas de 15 a 59 años -Mujer,TOTAL-H,TOTAL-M,TOTAL
ACACIO,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,3,4,3,4,7
ACHACACHI,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,46,30,46,30,76
ACHOCALLA,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,3,2,3,2,5
AIQUILE,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,40,302,40,302,342
ALCALA,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,0,7,0,7,7
ANCORAIMES,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,8,5,8,5,13
ANDAMARCA,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,5,7,5,7,12
ANTEQUERA,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,1,66,1,66,67
ANZALDO,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,3,17,3,17,20
APOLO,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,6,20,6,20,26
ARANI,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,7,11,7,11,18
ARBIETO,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,5,33,5,33,38
ARQUE,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,0,11,0,11,11
ASCENCION DE GUARAYOS,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,0,1,0,1,1
ATOCHA,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,234,249,234,249,483
AUCAPATA,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,1,1,1,1,2
AYATA,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,1,3,1,3,4
AYO AYO,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,1,2,1,2,3
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,9,10,9,10,19
BATALLAS,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,11,59,11,59,70
BAURES,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,10,13,10,13,23
BELEN DE URMIRI,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,0,3,0,3,3
BELLA FLOR,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,1,0,1,0,1
BERMEJO,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,93,178,93,178,271
BETANZOS,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,36,41,36,41,77
BOLPEBRA,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,1,7,1,7,8
BOYUIBE,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,9,30,9,30,39
BUENA VISTA,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,38,57,38,57,95
CABEZAS,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,20,61,20,61,81
CAIROMA,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,40,33,40,33,73
"CAIZA ""D""",consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,7,13,7,13,20
CAJUATA,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,17,18,17,18,35
CALACOTO,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,1,3,1,3,4
CALAMARCA,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,7,8,7,8,15
CAMARGO,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,6,37,6,37,43
CAMATAQUI (C. VILLA ABECIA),consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,6,19,6,19,25
CAMIRI,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,94,222,94,222,316
CAPINOTA,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,32,69,32,69,101
CAQUIAVIRI,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,4,7,4,7,11
CARACOLLO,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,1,8,1,8,9
CARANAVI,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,40,39,40,39,79
CARAPARI,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,3,4,3,4,7
CARIPUYO,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,0,1,0,1,1
CARMEN RIVERO TORREZ,consulta externa,repetidas en personas de 15 a 59 anos,2007-01-01,1,1,1,1,2
