municipality,group,variable,month,Repetidas en personas de 60 años o más -Hombre,Repetidas en personas de 60 años o más -Mujer,TOTAL-H,TOTAL-M,TOTAL
ACACIO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,0,4,0,4,4
ACHACACHI,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,39,30,39,30,69
ACHOCALLA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,2,0,2,0,2
AIQUILE,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,49,55,49,55,104
ANCORAIMES,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,3,5,3,5,8
ANDAMARCA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,9,5,9,5,14
ANZALDO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,3,1,3,4
APOLO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,2,11,2,11,13
ARANI,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,6,4,6,4,10
ARBIETO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,4,8,4,8,12
ARQUE,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,0,1,0,1,1
ATOCHA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,35,58,35,58,93
AUCAPATA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,2,1,2,3
AYATA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,1,1,1,2
AYO AYO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,5,8,5,8,13
BATALLAS,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,13,16,13,16,29
BAURES,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,0,1,0,1,1
BELEN DE ANDAMARCA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,0,1,0,1
BELEN DE URMIRI,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,10,0,10,0,10
BERMEJO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,53,56,53,56,109
BETANZOS,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,50,72,50,72,122
BOLIVAR,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,0,2,0,2,2
BOLPEBRA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,0,1,0,1
BOYUIBE,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,10,15,10,15,25
BUENA VISTA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,51,23,51,23,74
CABEZAS,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,4,2,4,2,6
CAIROMA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,12,2,12,2,14
"CAIZA ""D""",consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,0,5,0,5,5
CAJUATA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,5,5,5,5,10
CALACOTO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,4,6,4,6,10
CALAMARCA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,3,1,3,1,4
CAMARGO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,12,21,12,21,33
CAMATAQUI (C. VILLA ABECIA),consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,7,9,7,9,16
CAMIRI,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,54,98,54,98,152
CAPINOTA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,23,23,23,23,46
CAQUIAVIRI,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,2,1,2,1,3
CARACOLLO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,9,13,9,13,22
CARANAVI,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,30,16,30,16,46
CHALLAPATA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,7,4,7,4,11
CHAQUI,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,0,2,0,2,2
CHARAGUA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,7,2,7,2,9
CHARAÑA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,1,1,1,2
CHAYANTA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,2,8,2,8,10
CHIMORE,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,2,0,2,0,2
CHIPAYA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,0,3,0,3,3
CHOQUE COTA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,16,13,16,13,29
CHUMA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,4,4,4,4,8
