municipality,group,variable,month,Repetidas en menores de 5 años -Hombre,Repetidas en menores de 5 años -Mujer,TOTAL-H,TOTAL-M,TOTAL
ACACIO,consulta externa,repetidas en menores de 5 anos,2007-01-01,2,4,2,4,6
ACHACACHI,consulta externa,repetidas en menores de 5 anos,2007-01-01,1,6,1,6,7
ACHOCALLA,consulta externa,repetidas en menores de 5 anos,2007-01-01,1,4,1,4,5
AIQUILE,consulta externa,repetidas en menores de 5 anos,2007-01-01,43,60,43,60,103
ALALAY,consulta externa,repetidas en menores de 5 anos,2007-01-01,1,0,1,0,1
ANCORAIMES,consulta externa,repetidas en menores de 5 anos,2007-01-01,10,1,10,1,11
ANTEQUERA,consulta externa,repetidas en menores de 5 anos,2007-01-01,5,28,5,28,33
ANZALDO,consulta externa,repetidas en menores de 5 anos,2007-01-01,2,3,2,3,5
APOLO,consulta externa,repetidas en menores de 5 anos,2007-01-01,2,3,2,3,5
ARANI,consulta externa,repetidas en menores de 5 anos,2007-01-01,4,12,4,12,16
ARBIETO,consulta externa,repetidas en menores de 5 anos,2007-01-01,4,7,4,7,11
ARQUE,consulta externa,repetidas en menores de 5 anos,2007-01-01,29,25,29,25,54
ASCENCION DE GUARAYOS,consulta externa,repetidas en menores de 5 anos,2007-01-01,86,64,86,64,150
ATOCHA,consulta externa,repetidas en menores de 5 anos,2007-01-01,18,29,18,29,47
AUCAPATA,consulta externa,repetidas en menores de 5 anos,2007-01-01,0,5,0,5,5
AYATA,consulta externa,repetidas en menores de 5 anos,2007-01-01,4,5,4,5,9
AYO AYO,consulta externa,repetidas en menores de 5 anos,2007-01-01,0,4,0,4,4
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,repetidas en menores de 5 anos,2007-01-01,12,13,12,13,25
BATALLAS,consulta externa,repetidas en menores de 5 anos,2007-01-01,7,4,7,4,11
BAURES,consulta externa,repetidas en menores de 5 anos,2007-01-01,4,7,4,7,11
BELEN DE ANDAMARCA,consulta externa,repetidas en menores de 5 anos,2007-01-01,2,0,2,0,2
BELEN DE URMIRI,consulta externa,repetidas en menores de 5 anos,2007-01-01,2,0,2,0,2
BELLA FLOR,consulta externa,repetidas en menores de 5 anos,2007-01-01,1,1,1,1,2
BERMEJO,consulta externa,repetidas en menores de 5 anos,2007-01-01,37,34,37,34,71
BETANZOS,consulta externa,repetidas en menores de 5 anos,2007-01-01,5,8,5,8,13
BOLIVAR,consulta externa,repetidas en menores de 5 anos,2007-01-01,2,0,2,0,2
BOLPEBRA,consulta externa,repetidas en menores de 5 anos,2007-01-01,1,6,1,6,7
BOYUIBE,consulta externa,repetidas en menores de 5 anos,2007-01-01,6,10,6,10,16
BUENA VISTA,consulta externa,repetidas en menores de 5 anos,2007-01-01,94,65,94,65,159
CABEZAS,consulta externa,repetidas en menores de 5 anos,2007-01-01,11,10,11,10,21
CAIROMA,consulta externa,repetidas en menores de 5 anos,2007-01-01,6,3,6,3,9
"CAIZA ""D""",consulta externa,repetidas en menores de 5 anos,2007-01-01,2,2,2,2,4
CAJUATA,consulta externa,repetidas en menores de 5 anos,2007-01-01,41,33,41,33,74
CALACOTO,consulta externa,repetidas en menores de 5 anos,2007-01-01,1,2,1,2,3
CALAMARCA,consulta externa,repetidas en menores de 5 anos,2007-01-01,3,3,3,3,6
CAMARGO,consulta externa,repetidas en menores de 5 anos,2007-01-01,8,9,8,9,17
CAMATAQUI (C. VILLA ABECIA),consulta externa,repetidas en menores de 5 anos,2007-01-01,11,8,11,8,19
CAMIRI,consulta externa,repetidas en menores de 5 anos,2007-01-01,115,98,115,98,213
CAPINOTA,consulta externa,repetidas en menores de 5 anos,2007-01-01,58,59,58,59,117
CARACOLLO,consulta externa,repetidas en menores de 5 anos,2007-01-01,6,6,6,6,12
CARANAVI,consulta externa,repetidas en menores de 5 anos,2007-01-01,17,28,17,28,45
CARAPARI,consulta externa,repetidas en menores de 5 anos,2007-01-01,3,2,3,2,5
CARIPUYO,consulta externa,repetidas en menores de 5 anos,2007-01-01,1,1,1,1,2
CARMEN RIVERO TORREZ,consulta externa,repetidas en menores de 5 anos,2007-01-01,3,3,3,3,6
CHALLAPATA,consulta externa,repetidas en menores de 5 anos,2007-01-01,14,12,14,12,26
CHAQUI,consulta externa,repetidas en menores de 5 anos,2007-01-01,1,1,1,1,2
CHARAGUA,consulta externa,repetidas en menores de 5 anos,2007-01-01,58,67,58,67,125
CHARAÑA,consulta externa,repetidas en menores de 5 anos,2007-01-01,1,1,1,1,2
