municipality,group,variable,month,Nuevas en personas de 5 a 14 años -Hombre,Nuevas en personas de 5 a 14 años -Mujer,TOTAL-H,TOTAL-M,TOTAL
ACACIO,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,33,36,33,36,69
ACHACACHI,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,124,116,124,116,240
ACHOCALLA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,50,73,50,73,123
AIQUILE,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,98,86,98,86,184
ALALAY,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,0,1,0,1,1
ALCALA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,33,43,33,43,76
ANCORAIMES,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,23,27,23,27,50
ANDAMARCA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,19,21,19,21,40
ANTEQUERA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,16,4,16,4,20
ANZALDO,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,21,19,21,19,40
APOLO,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,53,59,53,59,112
ARAMPAMPA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,24,19,24,19,43
ARANI,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,20,13,20,13,33
ARBIETO,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,23,19,23,19,42
ARQUE,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,18,20,18,20,38
ASCENCION DE GUARAYOS,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,79,124,79,124,203
ATOCHA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,156,208,156,208,364
AUCAPATA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,15,9,15,9,24
AYATA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,26,36,26,36,62
AYO AYO,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,10,8,10,8,18
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,65,56,65,56,121
AZURDUY,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,110,109,110,109,219
BATALLAS,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,34,29,34,29,63
BAURES,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,13,12,13,12,25
BELEN DE ANDAMARCA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,7,3,7,3,10
BELEN DE URMIRI,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,11,14,11,14,25
BELLA FLOR,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,13,16,13,16,29
BERMEJO,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,792,790,792,790,1582
BETANZOS,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,111,102,111,102,213
BOLIVAR,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,18,14,18,14,32
BOLPEBRA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,5,8,5,8,13
BOYUIBE,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,43,44,43,44,87
BUENA VISTA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,67,80,67,80,147
CABEZAS,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,165,150,165,150,315
CAIROMA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,71,57,71,57,128
"CAIZA ""D""",consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,40,37,40,37,77
CAJUATA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,48,48,48,48,96
CALACOTO,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,16,12,16,12,28
CALAMARCA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,33,23,33,23,56
CAMARGO,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,139,123,139,123,262
CAMATAQUI (C. VILLA ABECIA),consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,28,42,28,42,70
CAMIRI,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,479,631,479,631,1110
CAPINOTA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,92,92,92,92,184
CAQUIAVIRI,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,28,19,28,19,47
CARACOLLO,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,42,38,42,38,80
CARANAVI,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,386,347,386,347,733
CARANGAS,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,6,3,6,3,9
CARAPARI,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,243,192,243,192,435
CARIPUYO,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,18,14,18,14,32
CARMEN RIVERO TORREZ,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,19,12,19,12,31
CATACORA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,10,7,10,7,17
CHACARILLA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,2,4,2,4,6
CHALLAPATA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,95,74,95,74,169
CHAQUI,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,14,16,14,16,30
CHARAGUA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,103,100,103,100,203
CHARAÑA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,28,18,28,18,46
CHAYANTA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,36,43,36,43,79
CHIMORE,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,136,110,136,110,246
CHIPAYA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,2,6,2,6,8
CHOQUE COTA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,27,17,27,17,44
CHULUMANI (V. DE LA LIBERTAD),consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,89,96,89,96,185
CHUMA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,49,57,49,57,106
CLIZA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,45,62,45,62,107
COBIJA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,405,306,405,306,711
COCHABAMBA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,4661,4437,4661,4437,9098
COIPASA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,6,10,6,10,16
COLCAPIRHUA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,80,76,80,76,156
"COLCHA ""K""",consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,46,44,46,44,90
COLLANA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,7,5,7,5,12
COLOMI,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,45,39,45,39,84
COLPA BELGICA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,60,60,60,60,120
COLQUECHACA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,110,120,110,120,230
COLQUENCHA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,25,31,25,31,56
COLQUIRI,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,26,33,26,33,59
COMANCHE,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,9,5,9,5,14
COMARAPA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,80,91,80,91,171
COMBAYA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,5,4,5,4,9
CONCEPCION,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,14,16,14,16,30
COPACABANA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,48,45,48,45,93
CORIPATA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,52,48,52,48,100
CORO CORO,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,13,16,13,16,29
COROICO,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,150,126,150,126,276
CORQUE,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,24,34,24,34,58
COTAGAITA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,209,254,209,254,463
COTOCA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,118,110,118,110,228
CUATRO CAÑADAS,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,141,166,141,166,307
CUCHUMUELA (V. G. VILLARROEL),consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,6,0,6,0,6
CUEVO,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,34,30,34,30,64
CULPINA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,66,78,66,78,144
CURAHUARA DE CARANGAS,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,16,27,16,27,43
CURVA,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,4,2,4,2,6
DESAGUADERO,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,15,16,15,16,31
EL ALTO,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,5555,4742,5555,4742,10297
EL CHORO,consulta externa,nuevas en personas de 5 a 14 anos,2007-01-01,30,42,30,42,72
