municipality,group,variable,month,Nuevas en personas de 15 a 59 años -Hombre,Nuevas en personas de 15 a 59 años -Mujer,TOTAL-H,TOTAL-M,TOTAL
ACACIO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,76,134,76,134,210
ACHACACHI,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,334,557,334,557,891
ACHOCALLA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,87,183,87,183,270
AIQUILE,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,235,641,235,641,876
ALALAY,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,7,14,7,14,21
ALCALA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,65,276,65,276,341
ANCORAIMES,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,98,216,98,216,314
ANDAMARCA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,47,72,47,72,119
ANTEQUERA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,27,3,27,3,30
ANZALDO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,35,74,35,74,109
APOLO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,156,349,156,349,505
ARAMPAMPA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,27,84,27,84,111
ARANI,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,31,92,31,92,123
ARBIETO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,50,88,50,88,138
ARQUE,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,84,198,84,198,282
ASCENCION DE GUARAYOS,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,180,419,180,419,599
ATOCHA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,747,1026,747,1026,1773
AUCAPATA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,43,97,43,97,140
AYATA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,65,151,65,151,216
AYO AYO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,31,93,31,93,124
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,215,397,215,397,612
AZURDUY,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,120,340,120,340,460
BATALLAS,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,67,182,67,182,249
BAURES,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,32,67,32,67,99
BELEN DE ANDAMARCA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,14,17,14,17,31
BELEN DE URMIRI,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,45,62,45,62,107
BELLA FLOR,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,42,30,42,30,72
BERMEJO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,688,1721,688,1721,2409
BETANZOS,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,306,785,306,785,1091
BOLIVAR,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,37,103,37,103,140
BOLPEBRA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,14,16,14,16,30
BOYUIBE,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,65,130,65,130,195
BUENA VISTA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,174,247,174,247,421
CABEZAS,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,305,336,305,336,641
CAIROMA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,200,210,200,210,410
"CAIZA ""D""",consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,140,206,140,206,346
CAJUATA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,105,166,105,166,271
CALACOTO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,69,70,69,70,139
CALAMARCA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,75,154,75,154,229
CAMARGO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,454,977,454,977,1431
CAMATAQUI (C. VILLA ABECIA),consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,87,188,87,188,275
CAMIRI,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,1027,2108,1027,2108,3135
CAPINOTA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,218,358,218,358,576
CAQUIAVIRI,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,73,116,73,116,189
CARACOLLO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,109,234,109,234,343
CARANAVI,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,1064,1323,1064,1323,2387
CARANGAS,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,14,3,14,3,17
CARAPARI,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,282,428,282,428,710
CARIPUYO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,59,174,59,174,233
CARMEN RIVERO TORREZ,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,39,36,39,36,75
CATACORA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,17,34,17,34,51
CHACARILLA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,3,7,3,7,10
CHALLAPATA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,246,506,246,506,752
CHAQUI,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,62,107,62,107,169
CHARAGUA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,211,487,211,487,698
CHARAÑA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,71,65,71,65,136
CHAYANTA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,147,305,147,305,452
CHIMORE,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,204,318,204,318,522
CHIPAYA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,21,18,21,18,39
CHOQUE COTA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,28,54,28,54,82
CHULUMANI (V. DE LA LIBERTAD),consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,231,343,231,343,574
CHUMA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,138,248,138,248,386
CLIZA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,77,123,77,123,200
COBIJA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,1177,2249,1177,2249,3426
COCHABAMBA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,14276,26858,14276,26858,41134
COIPASA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,22,30,22,30,52
COLCAPIRHUA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,79,164,79,164,243
"COLCHA ""K""",consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,135,288,135,288,423
COLLANA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,17,31,17,31,48
COLOMI,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,172,255,172,255,427
COLPA BELGICA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,115,176,115,176,291
COLQUECHACA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,309,653,309,653,962
COLQUENCHA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,83,151,83,151,234
COLQUIRI,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,148,326,148,326,474
COMANCHE,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,20,44,20,44,64
