,group,variable,month,TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AIQUILE,chagas,tratamientos de 15 anos y mas,2016-01-01,0,3,0,0,0,3,3
CARAPARI,chagas,tratamientos de 15 anos y mas,2016-01-01,2,1,1,0,3,1,4
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos de 15 anos y mas,2016-01-01,1,0,0,1,1,1,2
COCHABAMBA,chagas,tratamientos de 15 anos y mas,2016-01-01,22,31,19,43,41,74,115
CORIPATA,chagas,tratamientos de 15 anos y mas,2016-01-01,0,1,0,0,0,1,1
EL PUENTE(TJA),chagas,tratamientos de 15 anos y mas,2016-01-01,2,0,0,0,2,0,2
EL TORNO,chagas,tratamientos de 15 anos y mas,2016-01-01,4,5,3,1,7,6,13
LA ASUNTA,chagas,tratamientos de 15 anos y mas,2016-01-01,2,3,0,0,2,3,5
LA GUARDIA,chagas,tratamientos de 15 anos y mas,2016-01-01,0,2,0,0,0,2,2
MAIRANA,chagas,tratamientos de 15 anos y mas,2016-01-01,0,1,0,0,0,1,1
MIZQUE,chagas,tratamientos de 15 anos y mas,2016-01-01,5,5,1,1,6,6,12
MONTEAGUDO,chagas,tratamientos de 15 anos y mas,2016-01-01,8,12,3,8,11,20,31
OMEREQUE,chagas,tratamientos de 15 anos y mas,2016-01-01,7,6,0,0,7,6,13
PASORAPA,chagas,tratamientos de 15 anos y mas,2016-01-01,1,2,0,0,1,2,3
POCONA,chagas,tratamientos de 15 anos y mas,2016-01-01,0,0,1,1,1,1,2
PUNATA,chagas,tratamientos de 15 anos y mas,2016-01-01,3,15,2,0,5,15,20
SAN JULIAN,chagas,tratamientos de 15 anos y mas,2016-01-01,1,2,0,1,1,3,4
SANTA CRUZ DE LA SIERRA,chagas,tratamientos de 15 anos y mas,2016-01-01,5,0,0,0,5,0,5
SICAYA,chagas,tratamientos de 15 anos y mas,2016-01-01,1,0,0,0,1,0,1
