,group,variable,month,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
CAMATAQUI (C. VILLA ABECIA),chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-01-01,0,0,0,1,0,1,1
SAN JULIAN,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-01-01,1,0,0,0,1,0,1
SAN LORENZO(PND),chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-01-01,2,1,0,0,2,1,3
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-01-01,2,0,0,0,2,0,2
TUPIZA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-01-01,0,0,0,1,0,1,1
VALLEGRANDE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-01-01,0,1,0,0,0,1,1
COCHABAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-02-01,1,0,0,0,1,0,1
LA GUARDIA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-02-01,0,1,1,0,1,1,2
SIPE SIPE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-02-01,1,0,0,0,1,0,1
SUCRE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-02-01,0,1,0,0,0,1,1
YACUIBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-02-01,1,0,0,0,1,0,1
CAMATAQUI (C. VILLA ABECIA),chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-03-01,1,0,0,0,1,0,1
CKOCHAS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-03-01,2,1,0,0,2,1,3
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-03-01,0,0,2,0,2,0,2
SUCRE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-03-01,0,0,0,1,0,1,1
