,group,variable,month,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
COCHABAMBA,chagas,tratamientos rn a menores de 1 ano de edad,2016-01-01,4,4,0,0,4,4,8
LA ASUNTA,chagas,tratamientos rn a menores de 1 ano de edad,2016-01-01,0,3,0,0,0,3,3
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2016-01-01,0,1,0,0,0,1,1
MONTERO,chagas,tratamientos rn a menores de 1 ano de edad,2016-01-01,1,0,0,0,1,0,1
PRESTO,chagas,tratamientos rn a menores de 1 ano de edad,2016-01-01,1,0,0,0,1,0,1
SAN JULIAN,chagas,tratamientos rn a menores de 1 ano de edad,2016-01-01,1,2,1,1,2,3,5
SOPACHUY,chagas,tratamientos rn a menores de 1 ano de edad,2016-01-01,1,0,1,0,2,0,2
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2016-01-01,1,0,0,0,1,0,1
TUPIZA,chagas,tratamientos rn a menores de 1 ano de edad,2016-01-01,0,1,0,0,0,1,1
AZURDUY,chagas,tratamientos rn a menores de 1 ano de edad,2016-02-01,1,0,0,0,1,0,1
COCHABAMBA,chagas,tratamientos rn a menores de 1 ano de edad,2016-02-01,2,1,0,0,2,1,3
LA ASUNTA,chagas,tratamientos rn a menores de 1 ano de edad,2016-02-01,1,0,1,2,2,2,4
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2016-02-01,0,0,0,1,0,1,1
PRESTO,chagas,tratamientos rn a menores de 1 ano de edad,2016-02-01,0,1,1,0,1,1,2
SAN JULIAN,chagas,tratamientos rn a menores de 1 ano de edad,2016-02-01,0,0,0,1,0,1,1
SAN LUCAS,chagas,tratamientos rn a menores de 1 ano de edad,2016-02-01,1,1,0,0,1,1,2
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2016-02-01,0,3,1,1,1,4,5
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2016-02-01,1,1,0,0,1,1,2
