,group,variable,month,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
CAMATAQUI (C. VILLA ABECIA),chagas,tratamientos 5 anos a menores de 15 anos de edad,2016-01-01,0,3,0,0,0,3,3
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2016-01-01,1,1,0,0,1,1,2
EL TORNO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2016-01-01,0,1,0,0,0,1,1
LA ASUNTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2016-01-01,1,2,0,0,1,2,3
LA GUARDIA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2016-01-01,1,0,0,0,1,0,1
MONTEAGUDO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2016-01-01,0,1,0,0,0,1,1
SAN JULIAN,chagas,tratamientos 5 anos a menores de 15 anos de edad,2016-01-01,2,0,0,0,2,0,2
SAPAHAQUI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2016-01-01,1,1,0,0,1,1,2
SOPACHUY,chagas,tratamientos 5 anos a menores de 15 anos de edad,2016-01-01,1,0,1,0,2,0,2
TARIJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2016-01-01,0,0,1,1,1,1,2
TORO TORO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2016-01-01,0,0,0,2,0,2,2
TUPIZA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2016-01-01,0,3,1,1,1,4,5
AIQUILE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2016-02-01,0,0,0,1,0,1,1
CAMATAQUI (C. VILLA ABECIA),chagas,tratamientos 5 anos a menores de 15 anos de edad,2016-02-01,0,1,0,0,0,1,1
CAPINOTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2016-02-01,0,1,0,0,0,1,1
CARAPARI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2016-02-01,0,0,0,1,0,1,1
