,group,variable,month,TRATAMIENTOS EN MUJERES POST PARTO 25.5 TRATAMIENTOS EN MUJERES POST PARTO,TRATAMIENTOS EN MUJERES POST PARTO 25.5 TRATAMIENTOS EN MUJERES POST PARTO,TRATAMIENTOS EN MUJERES POST PARTO 25.5 TRATAMIENTOS EN MUJERES POST PARTO,TRATAMIENTOS EN MUJERES POST PARTO 25.5 TRATAMIENTOS EN MUJERES POST PARTO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO.1,FEMENINO.1,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
CAPINOTA,chagas,tratamientos en mujeres post parto,2016-01-01,0.0,1.0,0.0,3.0,0.0,4.0,4.0
TUPIZA,chagas,tratamientos en mujeres post parto,2016-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
AIQUILE,chagas,tratamientos en mujeres post parto,2016-02-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
COCHABAMBA,chagas,tratamientos en mujeres post parto,2016-03-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
MOROCHATA,chagas,tratamientos en mujeres post parto,2016-04-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
POCONA,chagas,tratamientos en mujeres post parto,2016-06-01,0.0,2.0,0.0,1.0,0.0,3.0,3.0
"CAIZA ""D""",chagas,tratamientos en mujeres post parto,2016-07-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
SUCRE,chagas,tratamientos en mujeres post parto,2016-08-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
TARIJA,chagas,tratamientos en mujeres post parto,2016-10-01,0.0,1.0,0.0,1.0,0.0,2.0,2.0
AIQUILE,chagas,tratamientos en mujeres post parto,2016-11-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
COLCAPIRHUA,chagas,tratamientos en mujeres post parto,2016-11-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
