municipality,group,variable,month,Inyectables,TOTAL
ACACIO,otras actividades de enfermeria,inyectables,2011-01-01,134,134
ACHACACHI,otras actividades de enfermeria,inyectables,2011-01-01,603,603
ACHOCALLA,otras actividades de enfermeria,inyectables,2011-01-01,73,73
AIQUILE,otras actividades de enfermeria,inyectables,2011-01-01,801,801
ALALAY,otras actividades de enfermeria,inyectables,2011-01-01,71,71
ALCALA,otras actividades de enfermeria,inyectables,2011-01-01,225,225
ALTO BENI,otras actividades de enfermeria,inyectables,2011-01-01,383,383
ANCORAIMES,otras actividades de enfermeria,inyectables,2011-01-01,171,171
ANDAMARCA,otras actividades de enfermeria,inyectables,2011-01-01,116,116
ANTEQUERA,otras actividades de enfermeria,inyectables,2011-01-01,102,102
ANZALDO,otras actividades de enfermeria,inyectables,2011-01-01,188,188
APOLO,otras actividades de enfermeria,inyectables,2011-01-01,402,402
ARAMPAMPA,otras actividades de enfermeria,inyectables,2011-01-01,126,126
ARANI,otras actividades de enfermeria,inyectables,2011-01-01,145,145
ARBIETO,otras actividades de enfermeria,inyectables,2011-01-01,272,272
ARQUE,otras actividades de enfermeria,inyectables,2011-01-01,84,84
ASCENCION DE GUARAYOS,otras actividades de enfermeria,inyectables,2011-01-01,3867,3867
ATOCHA,otras actividades de enfermeria,inyectables,2011-01-01,4404,4404
AUCAPATA,otras actividades de enfermeria,inyectables,2011-01-01,29,29
AYATA,otras actividades de enfermeria,inyectables,2011-01-01,69,69
AYO AYO,otras actividades de enfermeria,inyectables,2011-01-01,76,76
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,inyectables,2011-01-01,647,647
AZURDUY,otras actividades de enfermeria,inyectables,2011-01-01,370,370
BATALLAS,otras actividades de enfermeria,inyectables,2011-01-01,227,227
BAURES,otras actividades de enfermeria,inyectables,2011-01-01,623,623
BELEN DE ANDAMARCA,otras actividades de enfermeria,inyectables,2011-01-01,30,30
BELEN DE URMIRI,otras actividades de enfermeria,inyectables,2011-01-01,22,22
BELLA FLOR,otras actividades de enfermeria,inyectables,2011-01-01,128,128
BERMEJO,otras actividades de enfermeria,inyectables,2011-01-01,7476,7476
BETANZOS,otras actividades de enfermeria,inyectables,2011-01-01,1140,1140
BOLIVAR,otras actividades de enfermeria,inyectables,2011-01-01,122,122
BOLPEBRA,otras actividades de enfermeria,inyectables,2011-01-01,57,57
BOYUIBE,otras actividades de enfermeria,inyectables,2011-01-01,343,343
BUENA VISTA,otras actividades de enfermeria,inyectables,2011-01-01,404,404
CABEZAS,otras actividades de enfermeria,inyectables,2011-01-01,1306,1306
CAIROMA,otras actividades de enfermeria,inyectables,2011-01-01,394,394
"CAIZA ""D""",otras actividades de enfermeria,inyectables,2011-01-01,291,291
CAJUATA,otras actividades de enfermeria,inyectables,2011-01-01,261,261
CALACOTO,otras actividades de enfermeria,inyectables,2011-01-01,60,60
CALAMARCA,otras actividades de enfermeria,inyectables,2011-01-01,212,212
CAMARGO,otras actividades de enfermeria,inyectables,2011-01-01,2628,2628
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria,inyectables,2011-01-01,269,269
CAMIRI,otras actividades de enfermeria,inyectables,2011-01-01,5888,5888
CAPINOTA,otras actividades de enfermeria,inyectables,2011-01-01,998,998
CAQUIAVIRI,otras actividades de enfermeria,inyectables,2011-01-01,78,78
CARACOLLO,otras actividades de enfermeria,inyectables,2011-01-01,400,400
CARANAVI,otras actividades de enfermeria,inyectables,2011-01-01,3301,3301
CARANGAS,otras actividades de enfermeria,inyectables,2011-01-01,17,17
CARAPARI,otras actividades de enfermeria,inyectables,2011-01-01,963,963
CARIPUYO,otras actividades de enfermeria,inyectables,2011-01-01,135,135
CARMEN RIVERO TORREZ,otras actividades de enfermeria,inyectables,2011-01-01,519,519
CATACORA,otras actividades de enfermeria,inyectables,2011-01-01,10,10
CHACARILLA,otras actividades de enfermeria,inyectables,2011-01-01,6,6
CHALLAPATA,otras actividades de enfermeria,inyectables,2011-01-01,1105,1105
CHAQUI,otras actividades de enfermeria,inyectables,2011-01-01,212,212
CHARAGUA,otras actividades de enfermeria,inyectables,2011-01-01,1533,1533
CHARAÑA,otras actividades de enfermeria,inyectables,2011-01-01,31,31
CHAYANTA,otras actividades de enfermeria,inyectables,2011-01-01,346,346
CHIMORE,otras actividades de enfermeria,inyectables,2011-01-01,983,983
CHIPAYA,otras actividades de enfermeria,inyectables,2011-01-01,53,53
CHOQUE COTA,otras actividades de enfermeria,inyectables,2011-01-01,86,86
CHULUMANI (V. DE LA LIBERTAD),otras actividades de enfermeria,inyectables,2011-01-01,918,918
CHUMA,otras actividades de enfermeria,inyectables,2011-01-01,183,183
CHUQUIHUTA AYLLU JUCUMANI,otras actividades de enfermeria,inyectables,2011-01-01,29,29
CKOCHAS,otras actividades de enfermeria,inyectables,2011-01-01,182,182
CLIZA,otras actividades de enfermeria,inyectables,2011-01-01,669,669
COBIJA,otras actividades de enfermeria,inyectables,2011-01-01,9958,9958
COCAPATA,otras actividades de enfermeria,inyectables,2011-01-01,52,52
COCHABAMBA,otras actividades de enfermeria,inyectables,2011-01-01,39874,39874
COIPASA,otras actividades de enfermeria,inyectables,2011-01-01,12,12
COLCAPIRHUA,otras actividades de enfermeria,inyectables,2011-01-01,2419,2419
"COLCHA ""K""",otras actividades de enfermeria,inyectables,2011-01-01,357,357
COLLANA,otras actividades de enfermeria,inyectables,2011-01-01,93,93
COLOMI,otras actividades de enfermeria,inyectables,2011-01-01,277,277
COLPA BELGICA,otras actividades de enfermeria,inyectables,2011-01-01,615,615
COLQUECHACA,otras actividades de enfermeria,inyectables,2011-01-01,386,386
COLQUENCHA,otras actividades de enfermeria,inyectables,2011-01-01,132,132
COLQUIRI,otras actividades de enfermeria,inyectables,2011-01-01,740,740
COMANCHE,otras actividades de enfermeria,inyectables,2011-01-01,30,30
COMARAPA,otras actividades de enfermeria,inyectables,2011-01-01,753,753
COMBAYA,otras actividades de enfermeria,inyectables,2011-01-01,47,47
CONCEPCION,otras actividades de enfermeria,inyectables,2011-01-01,1173,1173
COPACABANA,otras actividades de enfermeria,inyectables,2011-01-01,286,286
CORIPATA,otras actividades de enfermeria,inyectables,2011-01-01,472,472
CORO CORO,otras actividades de enfermeria,inyectables,2011-01-01,90,90
COROICO,otras actividades de enfermeria,inyectables,2011-01-01,1402,1402
CORQUE,otras actividades de enfermeria,inyectables,2011-01-01,129,129
COTAGAITA,otras actividades de enfermeria,inyectables,2011-01-01,2255,2255
COTOCA,otras actividades de enfermeria,inyectables,2011-01-01,1277,1277
CUATRO CAÑADAS,otras actividades de enfermeria,inyectables,2011-01-01,886,886
CUCHUMUELA (V. G. VILLARROEL),otras actividades de enfermeria,inyectables,2011-01-01,29,29
CUEVO,otras actividades de enfermeria,inyectables,2011-01-01,134,134
CULPINA,otras actividades de enfermeria,inyectables,2011-01-01,870,870
CURAHUARA DE CARANGAS,otras actividades de enfermeria,inyectables,2011-01-01,134,134
CURVA,otras actividades de enfermeria,inyectables,2011-01-01,34,34
DESAGUADERO,otras actividades de enfermeria,inyectables,2011-01-01,75,75
EL ALTO,otras actividades de enfermeria,inyectables,2011-01-01,31733,31733
EL CHORO,otras actividades de enfermeria,inyectables,2011-01-01,62,62
EL PUENTE(STC),otras actividades de enfermeria,inyectables,2011-01-01,353,353
EL PUENTE(TJA),otras actividades de enfermeria,inyectables,2011-01-01,949,949
EL TORNO,otras actividades de enfermeria,inyectables,2011-01-01,2823,2823
EL VILLAR,otras actividades de enfermeria,inyectables,2011-01-01,351,351
ENTRE RIOS TRJ,otras actividades de enfermeria,inyectables,2011-01-01,1272,1272
ENTRE RIOS CBBA,otras actividades de enfermeria,inyectables,2011-01-01,621,621
ESCARA,otras actividades de enfermeria,inyectables,2011-01-01,4,4
ESCOMA,otras actividades de enfermeria,inyectables,2011-01-01,301,301
ESMERALDA,otras actividades de enfermeria,inyectables,2011-01-01,25,25
EUCALIPTUS,otras actividades de enfermeria,inyectables,2011-01-01,74,74
EUREKA (SANTOS MERCADO),otras actividades de enfermeria,inyectables,2011-01-01,54,54
EXALTACION,otras actividades de enfermeria,inyectables,2011-01-01,16,16
FERNANDEZ ALONSO,otras actividades de enfermeria,inyectables,2011-01-01,492,492
FILADELFIA,otras actividades de enfermeria,inyectables,2011-01-01,308,308
GENERAL SAAVEDRA,otras actividades de enfermeria,inyectables,2011-01-01,445,445
GRAL. J.J. PEREZ (CHARAZANI),otras actividades de enfermeria,inyectables,2011-01-01,183,183
GUANAY,otras actividades de enfermeria,inyectables,2011-01-01,623,623
GUAQUI,otras actividades de enfermeria,inyectables,2011-01-01,114,114
GUAYARAMERIN,otras actividades de enfermeria,inyectables,2011-01-01,16171,16171
