municipality,group,variable,month,Sueros,TOTAL
ACACIO,otras actividades de enfermeria,sueros,2011-01-01,32,32
ACHACACHI,otras actividades de enfermeria,sueros,2011-01-01,21,21
ACHOCALLA,otras actividades de enfermeria,sueros,2011-01-01,8,8
AIQUILE,otras actividades de enfermeria,sueros,2011-01-01,74,74
ALALAY,otras actividades de enfermeria,sueros,2011-01-01,3,3
ALCALA,otras actividades de enfermeria,sueros,2011-01-01,10,10
ALTO BENI,otras actividades de enfermeria,sueros,2011-01-01,15,15
ANCORAIMES,otras actividades de enfermeria,sueros,2011-01-01,16,16
ANDAMARCA,otras actividades de enfermeria,sueros,2011-01-01,15,15
ANTEQUERA,otras actividades de enfermeria,sueros,2011-01-01,6,6
ANZALDO,otras actividades de enfermeria,sueros,2011-01-01,20,20
APOLO,otras actividades de enfermeria,sueros,2011-01-01,34,34
ARAMPAMPA,otras actividades de enfermeria,sueros,2011-01-01,11,11
ARANI,otras actividades de enfermeria,sueros,2011-01-01,23,23
ARBIETO,otras actividades de enfermeria,sueros,2011-01-01,8,8
ARQUE,otras actividades de enfermeria,sueros,2011-01-01,20,20
ASCENCION DE GUARAYOS,otras actividades de enfermeria,sueros,2011-01-01,441,441
ATOCHA,otras actividades de enfermeria,sueros,2011-01-01,392,392
AUCAPATA,otras actividades de enfermeria,sueros,2011-01-01,2,2
AYATA,otras actividades de enfermeria,sueros,2011-01-01,9,9
AYO AYO,otras actividades de enfermeria,sueros,2011-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,sueros,2011-01-01,32,32
AZURDUY,otras actividades de enfermeria,sueros,2011-01-01,34,34
BATALLAS,otras actividades de enfermeria,sueros,2011-01-01,20,20
BAURES,otras actividades de enfermeria,sueros,2011-01-01,58,58
BELEN DE URMIRI,otras actividades de enfermeria,sueros,2011-01-01,2,2
BELLA FLOR,otras actividades de enfermeria,sueros,2011-01-01,9,9
BERMEJO,otras actividades de enfermeria,sueros,2011-01-01,1069,1069
BETANZOS,otras actividades de enfermeria,sueros,2011-01-01,127,127
BOLIVAR,otras actividades de enfermeria,sueros,2011-01-01,6,6
BOLPEBRA,otras actividades de enfermeria,sueros,2011-01-01,5,5
BOYUIBE,otras actividades de enfermeria,sueros,2011-01-01,55,55
BUENA VISTA,otras actividades de enfermeria,sueros,2011-01-01,31,31
CABEZAS,otras actividades de enfermeria,sueros,2011-01-01,241,241
CAIROMA,otras actividades de enfermeria,sueros,2011-01-01,32,32
"CAIZA ""D""",otras actividades de enfermeria,sueros,2011-01-01,17,17
CAJUATA,otras actividades de enfermeria,sueros,2011-01-01,18,18
CALACOTO,otras actividades de enfermeria,sueros,2011-01-01,12,12
CALAMARCA,otras actividades de enfermeria,sueros,2011-01-01,25,25
CAMARGO,otras actividades de enfermeria,sueros,2011-01-01,137,137
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria,sueros,2011-01-01,36,36
CAMIRI,otras actividades de enfermeria,sueros,2011-01-01,1024,1024
CAPINOTA,otras actividades de enfermeria,sueros,2011-01-01,149,149
CAQUIAVIRI,otras actividades de enfermeria,sueros,2011-01-01,18,18
CARACOLLO,otras actividades de enfermeria,sueros,2011-01-01,14,14
CARANAVI,otras actividades de enfermeria,sueros,2011-01-01,335,335
CARAPARI,otras actividades de enfermeria,sueros,2011-01-01,73,73
CARIPUYO,otras actividades de enfermeria,sueros,2011-01-01,23,23
CARMEN RIVERO TORREZ,otras actividades de enfermeria,sueros,2011-01-01,30,30
CATACORA,otras actividades de enfermeria,sueros,2011-01-01,3,3
CHALLAPATA,otras actividades de enfermeria,sueros,2011-01-01,90,90
CHAQUI,otras actividades de enfermeria,sueros,2011-01-01,10,10
CHARAGUA,otras actividades de enfermeria,sueros,2011-01-01,279,279
CHARAÑA,otras actividades de enfermeria,sueros,2011-01-01,3,3
CHAYANTA,otras actividades de enfermeria,sueros,2011-01-01,36,36
CHIMORE,otras actividades de enfermeria,sueros,2011-01-01,41,41
CHIPAYA,otras actividades de enfermeria,sueros,2011-01-01,1,1
CHOQUE COTA,otras actividades de enfermeria,sueros,2011-01-01,5,5
CHULUMANI (V. DE LA LIBERTAD),otras actividades de enfermeria,sueros,2011-01-01,152,152
CHUMA,otras actividades de enfermeria,sueros,2011-01-01,17,17
CHUQUIHUTA AYLLU JUCUMANI,otras actividades de enfermeria,sueros,2011-01-01,6,6
CKOCHAS,otras actividades de enfermeria,sueros,2011-01-01,88,88
CLIZA,otras actividades de enfermeria,sueros,2011-01-01,20,20
COBIJA,otras actividades de enfermeria,sueros,2011-01-01,985,985
COCAPATA,otras actividades de enfermeria,sueros,2011-01-01,44,44
COCHABAMBA,otras actividades de enfermeria,sueros,2011-01-01,17773,17773
COIPASA,otras actividades de enfermeria,sueros,2011-01-01,2,2
COLCAPIRHUA,otras actividades de enfermeria,sueros,2011-01-01,533,533
"COLCHA ""K""",otras actividades de enfermeria,sueros,2011-01-01,23,23
COLLANA,otras actividades de enfermeria,sueros,2011-01-01,7,7
COLOMI,otras actividades de enfermeria,sueros,2011-01-01,20,20
COLPA BELGICA,otras actividades de enfermeria,sueros,2011-01-01,33,33
COLQUECHACA,otras actividades de enfermeria,sueros,2011-01-01,21,21
COLQUENCHA,otras actividades de enfermeria,sueros,2011-01-01,2,2
COLQUIRI,otras actividades de enfermeria,sueros,2011-01-01,30,30
COMANCHE,otras actividades de enfermeria,sueros,2011-01-01,7,7
COMARAPA,otras actividades de enfermeria,sueros,2011-01-01,127,127
COMBAYA,otras actividades de enfermeria,sueros,2011-01-01,2,2
CONCEPCION,otras actividades de enfermeria,sueros,2011-01-01,100,100
COPACABANA,otras actividades de enfermeria,sueros,2011-01-01,30,30
CORIPATA,otras actividades de enfermeria,sueros,2011-01-01,13,13
CORO CORO,otras actividades de enfermeria,sueros,2011-01-01,8,8
COROICO,otras actividades de enfermeria,sueros,2011-01-01,297,297
CORQUE,otras actividades de enfermeria,sueros,2011-01-01,3,3
COTAGAITA,otras actividades de enfermeria,sueros,2011-01-01,214,214
COTOCA,otras actividades de enfermeria,sueros,2011-01-01,125,125
CUATRO CAÑADAS,otras actividades de enfermeria,sueros,2011-01-01,114,114
CUCHUMUELA (V. G. VILLARROEL),otras actividades de enfermeria,sueros,2011-01-01,1,1
CUEVO,otras actividades de enfermeria,sueros,2011-01-01,4,4
CULPINA,otras actividades de enfermeria,sueros,2011-01-01,127,127
CURAHUARA DE CARANGAS,otras actividades de enfermeria,sueros,2011-01-01,5,5
CURVA,otras actividades de enfermeria,sueros,2011-01-01,3,3
DESAGUADERO,otras actividades de enfermeria,sueros,2011-01-01,8,8
EL ALTO,otras actividades de enfermeria,sueros,2011-01-01,5801,5801
EL CHORO,otras actividades de enfermeria,sueros,2011-01-01,8,8
EL PUENTE(STC),otras actividades de enfermeria,sueros,2011-01-01,31,31
EL PUENTE(TJA),otras actividades de enfermeria,sueros,2011-01-01,41,41
EL TORNO,otras actividades de enfermeria,sueros,2011-01-01,408,408
EL VILLAR,otras actividades de enfermeria,sueros,2011-01-01,17,17
ENTRE RIOS TRJ,otras actividades de enfermeria,sueros,2011-01-01,115,115
ENTRE RIOS CBBA,otras actividades de enfermeria,sueros,2011-01-01,52,52
ESCOMA,otras actividades de enfermeria,sueros,2011-01-01,105,105
EUCALIPTUS,otras actividades de enfermeria,sueros,2011-01-01,4,4
EUREKA (SANTOS MERCADO),otras actividades de enfermeria,sueros,2011-01-01,14,14
EXALTACION,otras actividades de enfermeria,sueros,2011-01-01,10,10
FERNANDEZ ALONSO,otras actividades de enfermeria,sueros,2011-01-01,24,24
FILADELFIA,otras actividades de enfermeria,sueros,2011-01-01,24,24
GENERAL SAAVEDRA,otras actividades de enfermeria,sueros,2011-01-01,24,24
GRAL. J.J. PEREZ (CHARAZANI),otras actividades de enfermeria,sueros,2011-01-01,23,23
