municipality,group,variable,month,Curaciones y/o suturas,TOTAL
ACACIO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,34,34
ACHACACHI,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,775,775
ACHOCALLA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,62,62
AIQUILE,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,143,143
ALALAY,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,14,14
ALCALA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,32,32
ALTO BENI,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,93,93
ANCORAIMES,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,33,33
ANDAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,46,46
ANTEQUERA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,15,15
ANZALDO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,46,46
APOLO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,45,45
ARAMPAMPA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,12,12
ARANI,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,154,154
ARBIETO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,67,67
ARQUE,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,32,32
ASCENCION DE GUARAYOS,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,567,567
ATOCHA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,546,546
AUCAPATA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,8,8
AYATA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,14,14
AYO AYO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,14,14
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,120,120
AZURDUY,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,41,41
BATALLAS,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,50,50
BAURES,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,157,157
BELEN DE ANDAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,8,8
BELEN DE URMIRI,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,7,7
BELLA FLOR,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,24,24
BERMEJO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,1743,1743
BETANZOS,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,183,183
BOLIVAR,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,22,22
BOLPEBRA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,9,9
BOYUIBE,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,36,36
BUENA VISTA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,101,101
CABEZAS,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,135,135
CAIROMA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,153,153
"CAIZA ""D""",otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,28,28
CAJUATA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,87,87
CALACOTO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,12,12
CALAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,98,98
CAMARGO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,95,95
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,21,21
CAMIRI,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,809,809
CAPINOTA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,200,200
CAQUIAVIRI,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,53,53
CARACOLLO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,174,174
CARANAVI,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,639,639
CARANGAS,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,23,23
CARAPARI,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,126,126
CARIPUYO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,19,19
CARMEN RIVERO TORREZ,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,58,58
CATACORA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,3,3
CHALLAPATA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,340,340
CHAQUI,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,29,29
CHARAGUA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,119,119
CHARAÑA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,6,6
CHAYANTA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,49,49
CHIMORE,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,194,194
CHIPAYA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,3,3
CHOQUE COTA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,3,3
CHULUMANI (V. DE LA LIBERTAD),otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,133,133
CHUMA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,57,57
CHUQUIHUTA AYLLU JUCUMANI,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,7,7
CKOCHAS,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,23,23
CLIZA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,463,463
COBIJA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,1157,1157
COCAPATA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,16,16
COCHABAMBA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,13286,13286
COIPASA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,5,5
COLCAPIRHUA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,538,538
"COLCHA ""K""",otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,63,63
COLLANA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,31,31
COLOMI,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,153,153
COLPA BELGICA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,156,156
COLQUECHACA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,74,74
COLQUENCHA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,19,19
COLQUIRI,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,106,106
COMANCHE,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,5,5
COMARAPA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,151,151
COMBAYA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,13,13
CONCEPCION,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,140,140
COPACABANA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,60,60
CORIPATA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,37,37
CORO CORO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,17,17
COROICO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,212,212
CORQUE,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,52,52
COTAGAITA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,434,434
COTOCA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,563,563
CUATRO CAÑADAS,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,364,364
CUCHUMUELA (V. G. VILLARROEL),otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,7,7
CUEVO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,28,28
CULPINA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,88,88
CURAHUARA DE CARANGAS,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,38,38
CURVA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,1,1
DESAGUADERO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,57,57
EL ALTO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,7743,7743
EL CHORO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,9,9
EL PUENTE(STC),otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,112,112
EL PUENTE(TJA),otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,87,87
EL TORNO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,1096,1096
EL VILLAR,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,23,23
ENTRE RIOS TRJ,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,294,294
ENTRE RIOS CBBA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,146,146
ESCOMA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,120,120
ESMERALDA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,11,11
EUCALIPTUS,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,34,34
EUREKA (SANTOS MERCADO),otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,10,10
EXALTACION,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,8,8
FERNANDEZ ALONSO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,129,129
FILADELFIA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,18,18
GENERAL SAAVEDRA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,71,71
GRAL. J.J. PEREZ (CHARAZANI),otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,30,30
GUANAY,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,103,103
GUAQUI,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,32,32
GUAYARAMERIN,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,1439,1439
GUTIERREZ,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,26,26
HUACARETA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,83,83
HUACAYA (VILLA DE HUACAYA),otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,4,4
HUACHACALLA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,63,63
HUANUNI,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,601,601
HUARACAJE,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,71,71
HUARINA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,52,52
HUAYLLAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,25,25
HUMANATA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,13,13
ICHOCA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,26,26
ICLA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,12,12
INCAHUASI,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,49,49
INGAVI (HUMAITA),otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,8,8
INQUISIVI,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,36,36
IRUPANA (VILLA DE LANZA),otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,119,119
IXIAMAS,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,57,57
JESUS DE MACHACA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,75,75
LA ASUNTA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,72,72
LA GUARDIA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,1259,1259
LA PAZ,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,35502,35502
LA RIVERA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,3,3
LAGUNILLAS,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,52,52
LAJA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,76,76
LAS CARRERAS,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,33,33
LICOMA PAMPA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,3,3
LLALLAGUA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,179,179
LLICA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,13,13
LORETO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,20,20
LURIBAY,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,71,71
MACHACAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,110,110
MACHARETI,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,48,48
MAGDALENA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,253,253
MAIRANA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,329,329
MALLA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,3,3
MAPIRI,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,104,104
MECAPACA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,88,88
MINEROS,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,57,57
MIZQUE,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,134,134
MOCOMOCO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,18,18
MOJINETE,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,2,2
MOJOCOYA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,11,11
MONTEAGUDO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,327,327
MONTERO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,3050,3050
MORO MORO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,17,17
MOROCHATA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,23,23
NACEBE (SANTA ROSA DEL ABUNA),otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,60,60
NAZACARA DE PACAJES,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,31,31
OCURI,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,22,22
OKINAWA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,54,54
OMEREQUE,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,33,33
ORURO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,6982,6982
PADCAYA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,177,177
PADILLA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,119,119
PAILON,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,163,163
PALCA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,40,40
PALOS BLANCOS,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,125,125
PAMPA AULLAGAS,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,28,28
PAMPA GRANDE,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,80,80
PAPEL PAMPA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,34,34
PASORAPA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,28,28
PATACAMAYA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,16,16
PAZÑA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,82,82
PELECHUCO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,19,19
POCOATA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,55,55
POCONA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,84,84
POJO (CBBA),otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,27,27
POOPO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,107,107
PORCO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,53,53
POROMA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,27,27
PORONGO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,35,35
PORTACHUELO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,1226,1226
PORVENIR,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,112,112
POSTRER VALLE,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,23,23
POTOSI,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,4452,4452
PRESTO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,23,23
PUCARA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,45,45
PUCARANI,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,61,61
PUERTO ACOSTA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,16,16
PUERTO CARABUCO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,31,31
PUERTO GONZALO MORENO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,68,68
PUERTO PEREZ,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,27,27
PUERTO QUIJARRO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,221,221
PUERTO RICO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,119,119
PUERTO SILES,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,13,13
PUERTO SUAREZ,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,538,538
PUERTO VILLARROEL,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,2125,2125
PUNA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,77,77
PUNATA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,538,538
QUIABAYA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,14,14
QUILLACOLLO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,1200,1200
QUIME,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,77,77
QUIRUSILLAS,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,23,23
RAVELO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,46,46
REYES,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,229,229
RIBERALTA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,2005,2005
ROBORE,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,256,256
RURRENABAQUE,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,103,103
SABAYA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,25,25
SACABA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,1553,1553
SACABAMBA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,17,17
SACACA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,80,80
SAIPINA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,38,38
SALINAS DE GARCI MENDOZA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,26,26
SAMAIPATA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,136,136
SAN AGUSTIN,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,2,2
SAN ANDRES,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,40,40
SAN ANDRES DE MACHACA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,26,26
SAN ANTONIO DE ESMORUCO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,3,3
SAN ANTONIO DE LOMERIO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,25,25
SAN BENITO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,135,135
SAN BORJA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,1223,1223
SAN BUENA VENTURA,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,100,100
SAN CARLOS,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,191,191
SAN IGNACIO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,347,347
SAN IGNACIO DE VELASCO,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,1132,1132
SAN JAVIER(BNI),otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,19,19
SAN JAVIER(STC),otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,112,112
SAN JOAQUIN,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,4,4
SAN JOSE DE CHIQUITOS,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,299,299
SAN JUAN DE YAPACANI,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,328,328
SAN JULIAN,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,543,543
SAN LORENZO(PND),otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,19,19
SAN LORENZO(TJA),otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,181,181
SAN LUCAS,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,126,126
SAN MATIAS,otras actividades de enfermeria,curaciones y/o suturas,2011-01-01,81,81
