municipality,group,variable,month,"Tratamientos terminados en el mes, en niños(as) d",TOTAL
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-01-01,0,0
AIQUILE,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-02-01,8,8
EL PUENTE(TJA),chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-02-01,4,4
IRUPANA (VILLA DE LANZA),chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-02-01,14,14
MIZQUE,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-02-01,7,7
SACABA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-02-01,1,1
SIPE SIPE,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-02-01,7,7
SUCRE,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-02-01,5,5
VILLA TUNARI,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-02-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-03-01,2,2
EL PUENTE(TJA),chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-03-01,16,16
MIZQUE,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-03-01,12,12
MONTEAGUDO,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-03-01,1,1
OMEREQUE,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-03-01,1,1
SAN ANTONIO DE LOMERIO,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-03-01,146,146
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-03-01,0,0
SIPE SIPE,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-03-01,1,1
TIRAQUE (CBBA),chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-03-01,1,1
AIQUILE,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-04-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-04-01,1,1
EL PUENTE(TJA),chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-04-01,12,12
POJO (CBBA),chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-04-01,2,2
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-04-01,0,0
SIPE SIPE,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-04-01,4,4
SUCRE,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-04-01,9,9
TIRAQUE (CBBA),chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-04-01,1,1
AIQUILE,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-05-01,16,16
COCHABAMBA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-05-01,4,4
EL PUENTE(TJA),chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-05-01,4,4
MIZQUE,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-05-01,1,1
PADCAYA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-05-01,14,14
POJO (CBBA),chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-05-01,6,6
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-05-01,0,0
SIPE SIPE,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-05-01,9,9
SUCRE,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-05-01,19,19
AYOPAYA (V. DE INDEPENDENCIA),chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-06-01,1,1
CAPINOTA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-06-01,16,16
CHARAGUA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-06-01,8,8
COCHABAMBA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-06-01,12,12
EL PUENTE(TJA),chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-06-01,6,6
MIZQUE,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-06-01,2,2
PADCAYA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-06-01,1,1
POJO (CBBA),chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-06-01,9,9
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-06-01,0,0
SUCRE,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-06-01,7,7
VILLA TUNARI,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-06-01,1,1
AIQUILE,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-07-01,21,21
COCHABAMBA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-07-01,2,2
EL PUENTE(TJA),chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-07-01,4,4
LA GUARDIA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-07-01,5,5
PADCAYA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-07-01,29,29
POJO (CBBA),chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-07-01,2,2
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-07-01,0,0
SUCRE,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-07-01,4,4
AIQUILE,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-08-01,15,15
CHARAGUA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-08-01,12,12
LA GUARDIA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-08-01,8,8
MOJOCOYA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-08-01,22,22
POJO (CBBA),chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-08-01,2,2
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-08-01,0,0
SUCRE,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-08-01,12,12
URIONDO (A. CONCEPCION),chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-08-01,9,9
AIQUILE,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-09-01,2,2
CHARAGUA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-09-01,5,5
COCHABAMBA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-09-01,10,10
LA GUARDIA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-09-01,15,15
PADCAYA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-09-01,24,24
PUNATA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-09-01,1,1
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-09-01,0,0
SUCRE,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-09-01,8,8
TIRAQUE (CBBA),chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-09-01,1,1
VINTO,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-09-01,1,1
AIQUILE,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-10-01,10,10
CAPINOTA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-10-01,4,4
CHARAGUA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-10-01,20,20
COCHABAMBA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-10-01,8,8
MAIRANA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-10-01,5,5
MIZQUE,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-10-01,7,7
MONTEAGUDO,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-10-01,1,1
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-10-01,0,0
SUCRE,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-10-01,3,3
LA GUARDIA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-11-01,1,1
MAIRANA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-11-01,4,4
MONTERO,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-11-01,2,2
OMEREQUE,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-11-01,8,8
PADCAYA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-11-01,2,2
POROMA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-11-01,12,12
SUCRE,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-11-01,3,3
URIONDO (A. CONCEPCION),chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-11-01,1,1
VALLEGRANDE,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-11-01,16,16
YANACACHI,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-11-01,3,3
AIQUILE,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-12-01,18,18
CAPINOTA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-12-01,2,2
ENTRE RIOS,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-12-01,4,4
GUTIERREZ,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-12-01,2,2
LA GUARDIA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-12-01,3,3
MAIRANA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-12-01,3,3
MIZQUE,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-12-01,6,6
MOJOCOYA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-12-01,10,10
MONTERO,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-12-01,1,1
PADCAYA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-12-01,9,9
POROMA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-12-01,18,18
SACABA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-12-01,1,1
SAMAIPATA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-12-01,2,2
SAN LUCAS,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-12-01,1,1
SIPE SIPE,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-12-01,8,8
SUCRE,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-12-01,2,2
TIQUIPAYA,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-12-01,2,2
TOCO,chagas,"tratamientos terminados en el mes, en ninos(as) d",2008-12-01,1,1
