municipality,group,variable,month,"Tratamientos iniciados en el mes, en niños(as) de",TOTAL
AYOPAYA (V. DE INDEPENDENCIA),chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-01-01,2,2
EL PUENTE(TJA),chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-01-01,12,12
MIZQUE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-01-01,5,5
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-01-01,0,0
SIPE SIPE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-01-01,1,1
VILLA TUNARI,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-01-01,1,1
YACUIBA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-01-01,1,1
AIQUILE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-02-01,15,15
CLIZA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-02-01,1,1
EL PUENTE(TJA),chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-02-01,34,34
MIZQUE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-02-01,2,2
MONTEAGUDO,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-02-01,2,2
OMEREQUE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-02-01,2,2
POJO (CBBA),chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-02-01,7,7
SIPE SIPE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-02-01,6,6
SUCRE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-02-01,6,6
TIQUIPAYA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-02-01,3,3
TIRAQUE (CBBA),chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-02-01,1,1
AIQUILE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-03-01,25,25
AYOPAYA (V. DE INDEPENDENCIA),chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-03-01,9,9
COCHABAMBA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-03-01,6,6
EL PUENTE(TJA),chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-03-01,26,26
MIZQUE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-03-01,6,6
MONTEAGUDO,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-03-01,3,3
OMEREQUE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-03-01,29,29
PADCAYA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-03-01,6,6
PADILLA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-03-01,1,1
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-03-01,0,0
SIPE SIPE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-03-01,1,1
SUCRE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-03-01,53,53
TIRAQUE (CBBA),chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-03-01,1,1
AIQUILE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-04-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-04-01,7,7
COCHABAMBA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-04-01,6,6
EL PUENTE(TJA),chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-04-01,6,6
MIZQUE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-04-01,3,3
PADCAYA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-04-01,17,17
POJO (CBBA),chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-04-01,9,9
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-04-01,0,0
SICAYA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-04-01,37,37
SIPE SIPE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-04-01,2,2
SUCRE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-04-01,14,14
AIQUILE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-05-01,33,33
ANZALDO,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-05-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-05-01,2,2
COCHABAMBA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-05-01,6,6
EL PUENTE(TJA),chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-05-01,4,4
PADCAYA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-05-01,45,45
POJO (CBBA),chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-05-01,2,2
SAN LORENZO(TJA),chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-05-01,1,1
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-05-01,0,0
SIPE SIPE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-05-01,6,6
SUCRE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-05-01,10,10
TIQUIPAYA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-05-01,5,5
AIQUILE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-06-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-06-01,1,1
CAPINOTA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-06-01,6,6
CHARAGUA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-06-01,18,18
COCHABAMBA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-06-01,5,5
