municipality,group,variable,month,"Tratamientos iniciados en el mes, de recien nacid",TOTAL
MONTEAGUDO,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-01-01,1,1
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-01-01,0,0
VILLA TUNARI,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-01-01,3,3
ZUDAÑEZ,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-01-01,2,2
MONTEAGUDO,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-02-01,1,1
PADILLA,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-02-01,1,1
BERMEJO,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-03-01,1,1
CLIZA,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-03-01,1,1
MONTEAGUDO,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-03-01,2,2
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-03-01,0,0
SUCRE,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-03-01,2,2
WARNES,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-03-01,8,8
YACUIBA,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-03-01,2,2
CHULUMANI (V. DE LA LIBERTAD),chagas,"tratamientos iniciados en el mes, de recien nacid",2008-04-01,2,2
COCHABAMBA,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-04-01,2,2
HUACARETA,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-04-01,2,2
MIZQUE,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-04-01,1,1
SAN LUCAS,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-04-01,1,1
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-04-01,0,0
SUCRE,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-04-01,3,3
TIRAQUE (CBBA),chagas,"tratamientos iniciados en el mes, de recien nacid",2008-04-01,1,1
MIZQUE,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-05-01,1,1
MONTERO,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-05-01,1,1
SACABA,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-05-01,2,2
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-05-01,2,2
TARIJA,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-05-01,2,2
CLIZA,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-06-01,2,2
MONTERO,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-06-01,1,1
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-06-01,1,1
SOPACHUY,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-06-01,1,1
SUCRE,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-06-01,2,2
TIQUIPAYA,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-06-01,1,1
WARNES,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-06-01,8,8
BERMEJO,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-07-01,1,1
CORIPATA,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-07-01,1,1
ENTRE RIOS,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-07-01,2,2
