municipality,group,variable,month,"Tratamientos terminados en el mes, del recien nac",TOTAL
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos terminados en el mes, del recien nac",2008-01-01,0,0
ZUDAÑEZ,chagas,"tratamientos terminados en el mes, del recien nac",2008-01-01,1,1
VILLA TUNARI,chagas,"tratamientos terminados en el mes, del recien nac",2008-02-01,3,3
BERMEJO,chagas,"tratamientos terminados en el mes, del recien nac",2008-03-01,1,1
COCHABAMBA,chagas,"tratamientos terminados en el mes, del recien nac",2008-03-01,4,4
MONTEAGUDO,chagas,"tratamientos terminados en el mes, del recien nac",2008-03-01,2,2
PADILLA,chagas,"tratamientos terminados en el mes, del recien nac",2008-03-01,1,1
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos terminados en el mes, del recien nac",2008-03-01,0,0
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos terminados en el mes, del recien nac",2008-04-01,0,0
MIZQUE,chagas,"tratamientos terminados en el mes, del recien nac",2008-05-01,1,1
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos terminados en el mes, del recien nac",2008-05-01,0,0
SUCRE,chagas,"tratamientos terminados en el mes, del recien nac",2008-05-01,1,1
TIRAQUE (CBBA),chagas,"tratamientos terminados en el mes, del recien nac",2008-05-01,1,1
MONTERO,chagas,"tratamientos terminados en el mes, del recien nac",2008-06-01,1,1
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos terminados en el mes, del recien nac",2008-06-01,1,1
WARNES,chagas,"tratamientos terminados en el mes, del recien nac",2008-06-01,3,3
MONTERO,chagas,"tratamientos terminados en el mes, del recien nac",2008-07-01,1,1
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos terminados en el mes, del recien nac",2008-07-01,0,0
SUCRE,chagas,"tratamientos terminados en el mes, del recien nac",2008-07-01,1,1
TIRAQUE (CBBA),chagas,"tratamientos terminados en el mes, del recien nac",2008-07-01,1,1
WARNES,chagas,"tratamientos terminados en el mes, del recien nac",2008-07-01,6,6
ENTRE RIOS,chagas,"tratamientos terminados en el mes, del recien nac",2008-08-01,2,2
PUERTO VILLARROEL,chagas,"tratamientos terminados en el mes, del recien nac",2008-08-01,1,1
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos terminados en el mes, del recien nac",2008-08-01,0,0
SUCRE,chagas,"tratamientos terminados en el mes, del recien nac",2008-08-01,1,1
TIRAQUE (CBBA),chagas,"tratamientos terminados en el mes, del recien nac",2008-08-01,2,2
WARNES,chagas,"tratamientos terminados en el mes, del recien nac",2008-08-01,3,3
YACUIBA,chagas,"tratamientos terminados en el mes, del recien nac",2008-08-01,1,1
CAMARGO,chagas,"tratamientos terminados en el mes, del recien nac",2008-09-01,1,1
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos terminados en el mes, del recien nac",2008-09-01,0,0
WARNES,chagas,"tratamientos terminados en el mes, del recien nac",2008-09-01,9,9
YACUIBA,chagas,"tratamientos terminados en el mes, del recien nac",2008-09-01,1,1
MONTEAGUDO,chagas,"tratamientos terminados en el mes, del recien nac",2008-10-01,1,1
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos terminados en el mes, del recien nac",2008-10-01,1,1
WARNES,chagas,"tratamientos terminados en el mes, del recien nac",2008-10-01,8,8
CHIMORE,chagas,"tratamientos terminados en el mes, del recien nac",2008-11-01,1,1
WARNES,chagas,"tratamientos terminados en el mes, del recien nac",2008-11-01,3,3
CHIMORE,chagas,"tratamientos terminados en el mes, del recien nac",2008-12-01,1,1
COCHABAMBA,chagas,"tratamientos terminados en el mes, del recien nac",2008-12-01,1,1
MONTERO,chagas,"tratamientos terminados en el mes, del recien nac",2008-12-01,2,2
TIQUIPAYA,chagas,"tratamientos terminados en el mes, del recien nac",2008-12-01,1,1
WARNES,chagas,"tratamientos terminados en el mes, del recien nac",2008-12-01,1,1
