municipality,group,variable,month,Días camas disponibles maternidad,TOTAL
ACACIO,internaciones,dias camas disponibles maternidad,2006-01-01,31,31
ACHACACHI,internaciones,dias camas disponibles maternidad,2006-01-01,217,217
ACHOCALLA,internaciones,dias camas disponibles maternidad,2006-01-01,93,93
AIQUILE,internaciones,dias camas disponibles maternidad,2006-01-01,310,310
ALALAY,internaciones,dias camas disponibles maternidad,2006-01-01,153,153
ALCALA,internaciones,dias camas disponibles maternidad,2006-01-01,124,124
ANCORAIMES,internaciones,dias camas disponibles maternidad,2006-01-01,93,93
ANDAMARCA,internaciones,dias camas disponibles maternidad,2006-01-01,62,62
ANTEQUERA,internaciones,dias camas disponibles maternidad,2006-01-01,31,31
ANZALDO,internaciones,dias camas disponibles maternidad,2006-01-01,56,56
APOLO,internaciones,dias camas disponibles maternidad,2006-01-01,23,23
ARAMPAMPA,internaciones,dias camas disponibles maternidad,2006-01-01,29,29
ARANI,internaciones,dias camas disponibles maternidad,2006-01-01,152,152
ARBIETO,internaciones,dias camas disponibles maternidad,2006-01-01,90,90
ARQUE,internaciones,dias camas disponibles maternidad,2006-01-01,218,218
ASCENCION DE GUARAYOS,internaciones,dias camas disponibles maternidad,2006-01-01,310,310
ATOCHA,internaciones,dias camas disponibles maternidad,2006-01-01,310,310
AYATA,internaciones,dias camas disponibles maternidad,2006-01-01,93,93
AYO AYO,internaciones,dias camas disponibles maternidad,2006-01-01,62,62
AYOPAYA (V. DE INDEPENDENCIA),internaciones,dias camas disponibles maternidad,2006-01-01,589,589
AZURDUY,internaciones,dias camas disponibles maternidad,2006-01-01,558,558
BATALLAS,internaciones,dias camas disponibles maternidad,2006-01-01,62,62
BAURES,internaciones,dias camas disponibles maternidad,2006-01-01,62,62
BERMEJO,internaciones,dias camas disponibles maternidad,2006-01-01,212,212
BETANZOS,internaciones,dias camas disponibles maternidad,2006-01-01,372,372
BOLIVAR,internaciones,dias camas disponibles maternidad,2006-01-01,155,155
