municipality,group,variable,month,PCD referidos a Servicios/Centros de Rehabilitación,TOTAL
BERMEJO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-01-01,6,6
BOLIVAR,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-01-01,1,1
CALAMARCA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-01-01,3,3
CAMIRI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-01-01,4,4
CARACOLLO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-01-01,3,3
COCHABAMBA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-01-01,15,15
EL ALTO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-01-01,71,71
EL PUENTE(STC),referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-01-01,2,2
EL TORNO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-01-01,10,10
GUAYARAMERIN,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-01-01,2,2
HUANUNI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-01-01,6,6
LA PAZ,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-01-01,668,668
MONTERO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-01-01,28,28
ORURO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-01-01,98,98
PAMPA GRANDE,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-01-01,1,1
POTOSI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-01-01,4,4
RIBERALTA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-01-01,2,2
ROBORE,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-01-01,5,5
SAN BORJA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-01-01,1,1
SAN CARLOS,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-01-01,12,12
SANTA CRUZ DE LA SIERRA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-01-01,228,228
