municipality,group,variable,month,PCD referidos a Unidades de Calificación de Discapacidad,TOTAL
CALAMARCA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-01-01,1,1
CARANAVI,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-01-01,4,4
CHALLAPATA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-01-01,3,3
COCHABAMBA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-01-01,20,20
COLPA BELGICA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-01-01,2,2
CUATRO CAÑADAS,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-01-01,1,1
EL ALTO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-01-01,5,5
EL TORNO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-01-01,1,1
GUAYARAMERIN,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-01-01,3,3
JESUS DE MACHACA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-01-01,1,1
PAILON,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-01-01,1,1
POTOSI,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-01-01,24,24
QUIABAYA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-01-01,1,1
QUILLACOLLO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-01-01,1,1
RIBERALTA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-01-01,1,1
SACABA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-01-01,1,1
SAN BORJA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-01-01,2,2
SAN JULIAN,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-01-01,1,1
SAN MATIAS,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-01-01,11,11
SANTA CRUZ DE LA SIERRA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-01-01,18,18
TRINIDAD,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-01-01,10,10
VILLA SERRANO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-01-01,1,1
CARANAVI,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-02-01,6,6
CHALLAPATA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-02-01,11,11
CHARAGUA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-02-01,2,2
COCHABAMBA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-02-01,7,7
COLPA BELGICA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-02-01,1,1
EL ALTO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-02-01,17,17
EL TORNO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-02-01,1,1
LA PAZ,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-02-01,10,10
ORURO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-02-01,3,3
POTOSI,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-02-01,2,2
QUILLACOLLO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-02-01,1,1
RIBERALTA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-02-01,3,3
SACABA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-02-01,1,1
SAN BORJA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-02-01,13,13
SAN LUCAS,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-02-01,1,1
TARABUCO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-02-01,3,3
TRINIDAD,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-02-01,11,11
YACUIBA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-02-01,2,2
CARACOLLO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-03-01,9,9
CARANAVI,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-03-01,19,19
CHALLAPATA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-03-01,3,3
COBIJA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-03-01,1,1
COCHABAMBA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-03-01,74,74
EL ALTO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-03-01,8,8
LA PAZ,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-03-01,1,1
PATACAMAYA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-03-01,1,1
POTOSI,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-03-01,28,28
QUILLACOLLO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-03-01,1,1
RURRENABAQUE,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-03-01,1,1
SAN BORJA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-03-01,4,4
SANTA CRUZ DE LA SIERRA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-03-01,309,309
SANTA ROSA DEL SARA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-03-01,1,1
SUCRE,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-03-01,1,1
TARATA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-03-01,3,3
TARIJA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-03-01,36,36
TARVITA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-03-01,3,3
TRINIDAD,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-03-01,12,12
VILLA VACA GUZMAN (MUYUPAMPA),referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-03-01,1,1
YACUIBA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-03-01,2,2
ASCENCION DE GUARAYOS,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-04-01,2,2
CARANAVI,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-04-01,23,23
CHALLAPATA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-04-01,8,8
CKOCHAS,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-04-01,14,14
COCHABAMBA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-04-01,28,28
CORO CORO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-04-01,2,2
COTOCA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-04-01,33,33
EL ALTO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-04-01,10,10
EL TORNO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-04-01,3,3
LA PAZ,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-04-01,10,10
PADCAYA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-04-01,1,1
PAILON,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-04-01,1,1
POTOSI,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-04-01,16,16
RIBERALTA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-04-01,1,1
SAN BORJA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-04-01,6,6
SAN IGNACIO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-04-01,1,1
SAN LUCAS,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-04-01,1,1
SANTA ANA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-04-01,1,1
SUCRE,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-04-01,2,2
TARABUCO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-04-01,1,1
TARATA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-04-01,1,1
TARIJA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-04-01,24,24
TARVITA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-04-01,1,1
TRINIDAD,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-04-01,6,6
VILLA TUNARI,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-04-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-04-01,1,1
WARNES,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-04-01,2,2
ARANI,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-05-01,11,11
ASCENCION DE GUARAYOS,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-05-01,1,1
CARACOLLO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-05-01,5,5
CARANAVI,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-05-01,14,14
CHALLAPATA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-05-01,2,2
COCHABAMBA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-05-01,73,73
EL ALTO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-05-01,143,143
LA PAZ,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-05-01,11,11
MONTERO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-05-01,2,2
MOROCHATA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-05-01,1,1
PAILON,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-05-01,1,1
POTOSI,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-05-01,13,13
PRESTO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-05-01,4,4
PUERTO CARABUCO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-05-01,1,1
QUIABAYA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-05-01,1,1
SACABA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-05-01,1,1
SAN BORJA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-05-01,12,12
SAN JUAN DE YAPACANI,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-05-01,10,10
SANTA CRUZ DE LA SIERRA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-05-01,1,1
TARABUCO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-05-01,1,1
TARIJA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-05-01,4,4
TRINIDAD,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-05-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-05-01,1,1
CARACOLLO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-06-01,1,1
CARANAVI,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-06-01,8,8
CHALLAPATA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-06-01,5,5
COCHABAMBA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-06-01,48,48
COTOCA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-06-01,12,12
