municipality,group,variable,month,Pacientes referidos a otros establecimientos,TOTAL
ACACIO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,2,2
ACHACACHI,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,97,97
ACHOCALLA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,1,1
AIQUILE,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,69,69
ALALAY,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,4,4
ALCALA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,41,41
ALTO BENI,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,7,7
ANCORAIMES,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,13,13
ANDAMARCA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,3,3
ANTEQUERA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,1,1
ANZALDO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,12,12
APOLO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,15,15
ARAMPAMPA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,2,2
ARANI,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,55,55
ARBIETO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,16,16
ARQUE,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,10,10
ASCENCION DE GUARAYOS,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,31,31
ATOCHA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,141,141
AUCAPATA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,4,4
AYATA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,4,4
AYO AYO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,13,13
AYOPAYA (V. DE INDEPENDENCIA),referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,48,48
AZURDUY,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,28,28
BATALLAS,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,79,79
BAURES,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,10,10
BELEN DE ANDAMARCA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,1,1
BELLA FLOR,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,13,13
BERMEJO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,901,901
BETANZOS,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,81,81
BOLIVAR,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,3,3
BOYUIBE,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,16,16
BUENA VISTA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,59,59
CABEZAS,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,32,32
CAIROMA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,8,8
"CAIZA ""D""",referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,13,13
CAJUATA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,43,43
CALAMARCA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,48,48
CAMARGO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,123,123
CAMATAQUI (C. VILLA ABECIA),referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,26,26
CAMIRI,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,339,339
CAPINOTA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,199,199
CAQUIAVIRI,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,6,6
CARACOLLO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,45,45
CARANAVI,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,77,77
CARAPARI,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,88,88
CARIPUYO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,5,5
CARMEN RIVERO TORREZ,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,7,7
CATACORA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,10,10
CHALLAPATA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,80,80
CHAQUI,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,4,4
CHARAGUA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,91,91
CHARAÑA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,1,1
CHAYANTA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,11,11
CHIMORE,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,165,165
CHIPAYA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,1,1
CHOQUE COTA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,3,3
CHUA COCANI,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,23,23
CHULUMANI (V. DE LA LIBERTAD),referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,91,91
CHUMA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,4,4
CHUQUIHUTA AYLLU JUCUMANI,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,2,2
CKOCHAS,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,17,17
CLIZA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,12,12
COBIJA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,442,442
COCAPATA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,8,8
COCHABAMBA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,5590,5590
COLCAPIRHUA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,351,351
"COLCHA ""K""",referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,44,44
COLLANA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,10,10
COLOMI,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,66,66
COLPA BELGICA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,65,65
COLQUECHACA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,15,15
COLQUENCHA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,9,9
COLQUIRI,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,14,14
COMANCHE,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,2,2
COMARAPA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,82,82
COMBAYA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,5,5
CONCEPCION,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,6,6
COPACABANA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,42,42
CORIPATA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,123,123
CORO CORO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,22,22
COROICO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,193,193
CORQUE,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,8,8
COTAGAITA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,166,166
COTOCA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,279,279
CUATRO CAÑADAS,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,46,46
CUCHUMUELA (V. G. VILLARROEL),referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,1,1
CUEVO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,6,6
CULPINA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,61,61
CURAHUARA DE CARANGAS,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,2,2
DESAGUADERO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,24,24
EL ALTO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,9860,9860
