municipality,group,variable,month,Pacientes referidos recibidos por el establecimiento,TOTAL
ACHACACHI,referencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2024-01-01,245,245
ACHOCALLA,referencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2024-01-01,1,1
AIQUILE,referencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2024-01-01,37,37
APOLO,referencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2024-01-01,3,3
ARAMPAMPA,referencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2024-01-01,1,1
ARANI,referencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2024-01-01,2,2
ASCENCION DE GUARAYOS,referencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2024-01-01,29,29
ATOCHA,referencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2024-01-01,137,137
AYOPAYA (V. DE INDEPENDENCIA),referencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2024-01-01,3,3
AZURDUY,referencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2024-01-01,11,11
BAURES,referencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2024-01-01,5,5
BERMEJO,referencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2024-01-01,687,687
BETANZOS,referencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2024-01-01,1,1
BUENA VISTA,referencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2024-01-01,2,2
CABEZAS,referencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2024-01-01,12,12
CALAMARCA,referencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2024-01-01,1,1
CAMARGO,referencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2024-01-01,139,139
CAMIRI,referencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2024-01-01,3,3
CAPINOTA,referencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2024-01-01,64,64
CARANAVI,referencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2024-01-01,149,149
CARAPARI,referencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2024-01-01,11,11
CARMEN RIVERO TORREZ,referencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2024-01-01,2,2
CATACORA,referencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2024-01-01,1,1
CHALLAPATA,referencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2024-01-01,24,24
CHARAGUA,referencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2024-01-01,97,97
CHAYANTA,referencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2024-01-01,3,3
CHIMORE,referencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2024-01-01,22,22
CHIPAYA,referencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2024-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),referencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2024-01-01,73,73
CHUQUIHUTA AYLLU JUCUMANI,referencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2024-01-01,6,6
CKOCHAS,referencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2024-01-01,1,1
CLIZA,referencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2024-01-01,5,5
COBIJA,referencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2024-01-01,199,199
COCHABAMBA,referencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2024-01-01,8288,8288
COLCAPIRHUA,referencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2024-01-01,102,102
