municipality,group,variable,month,Pacientes referidos del establecimiento a la medicina tradicional,TOTAL
ATOCHA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-01-01,16,16
CULPINA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-01-01,1,1
MAPIRI,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-01-01,3,3
MINEROS,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-01-01,1,1
RIBERALTA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-01-01,1,1
SAN BORJA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-01-01,10,10
TOTORA(ORR),referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-01-01,8,8
VILLA CHARCAS,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-01-01,3,3
ATOCHA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-02-01,4,4
MAPIRI,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-02-01,2,2
RIBERALTA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-02-01,1,1
SAN BORJA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-02-01,17,17
TOTORA(ORR),referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-02-01,9,9
VILLA CHARCAS,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-02-01,6,6
VILLA MONTES,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-02-01,3,3
VILLA TUNARI,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-02-01,1,1
ATOCHA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-03-01,16,16
CARAPARI,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-03-01,1,1
CHALLAPATA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-03-01,1,1
CHARAGUA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-03-01,1,1
COMARAPA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-03-01,1,1
CONCEPCION,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-03-01,1,1
EL PUENTE(TJA),referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-03-01,1,1
LA PAZ,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-03-01,2,2
PALOS BLANCOS,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-03-01,1,1
SAN BORJA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-03-01,13,13
TACOPAYA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-03-01,6,6
TOTORA(ORR),referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-03-01,8,8
TRINIDAD,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-03-01,4,4
VILLA CHARCAS,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-03-01,3,3
VILLA MONTES,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-03-01,2,2
CARAPARI,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-04-01,1,1
