municipality,group,variable,month,Pacientes contrarreferidos al establecimiento,TOTAL
AIQUILE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,1,1
ALCALA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,9,9
ANCORAIMES,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,1,1
ASCENCION DE GUARAYOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,29,29
ATOCHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,7,7
BERMEJO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,65,65
BETANZOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,3,3
BOYUIBE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,1,1
BUENA VISTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,10,10
"CAIZA ""D""",referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,3,3
CAJUATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,1,1
CALACOTO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,2,2
CAMARGO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,1,1
CAMATAQUI (C. VILLA ABECIA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,8,8
CAMIRI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,7,7
CAPINOTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,8,8
CARAPARI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,5,5
CARIPUYO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,1,1
CARMEN RIVERO TORREZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,7,7
CHALLAPATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,24,24
CHARAGUA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,2,2
CHUA COCANI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,2,2
CKOCHAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,4,4
COBIJA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,75,75
COCHABAMBA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,934,934
COLCAPIRHUA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,4,4
COLOMI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,1,1
COLQUECHACA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,1,1
CONCEPCION,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,5,5
CORIPATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,4,4
CORO CORO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,1,1
COROICO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,12,12
COTAGAITA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,3,3
COTOCA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,159,159
CULPINA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,2,2
CURAHUARA DE CARANGAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,1,1
EL ALTO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,634,634
EL PUENTE(TJA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,4,4
EL TORNO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,5,5
EL VILLAR,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,1,1
ENTRE RIOS TRJ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,1,1
FERNANDEZ ALONSO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,17,17
GENERAL SAAVEDRA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,6,6
GUAQUI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,3,3
GUAYARAMERIN,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,146,146
GUTIERREZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,6,6
HUACARETA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,1,1
HUACAYA (VILLA DE HUACAYA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,2,2
HUANUNI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,3,3
INCAHUASI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,6,6
LA ASUNTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,5,5
LA GUARDIA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,11,11
LA PAZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,1190,1190
LAGUNILLAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,3,3
LAS CARRERAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,5,5
MACHARETI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,3,3
MAIRANA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,9,9
MAPIRI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,2,2
MECAPACA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,1,1
MINEROS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,3,3
MIZQUE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,2,2
MONTEAGUDO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,2,2
MONTERO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,53,53
OCURI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,2,2
ORURO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,440,440
POCONA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,1,1
POOPO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,6,6
POTOSI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,49,49
PRESTO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,3,3
PUCARANI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,1,1
PUERTO CARABUCO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,2,2
PUERTO GONZALO MORENO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,1,1
PUERTO SUAREZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,1,1
PUERTO VILLARROEL,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,6,6
PUNATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,10,10
QUILLACOLLO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,36,36
QUIME,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,1,1
QUIRUSILLAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,1,1
RAVELO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,11,11
RIBERALTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,32,32
ROBORE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,14,14
RURRENABAQUE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,8,8
SACABA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,26,26
SAIPINA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,1,1
SALINAS DE GARCI MENDOZA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,2,2
SAMAIPATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,1,1
SAN ANDRES,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,3,3
SAN BUENA VENTURA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,9,9
