municipality,group,variable,month,Pacientes referidos de la comunidad o medicina tradicional,TOTAL
AZURDUY,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-01-01,2,2
CARAPARI,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-01-01,2,2
COMARAPA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-01-01,2,2
EL VILLAR,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-01-01,1,1
HUACARETA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-01-01,11,11
ICLA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-01-01,1,1
MONTEAGUDO,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-01-01,8,8
PRESTO,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-01-01,4,4
SAN LUCAS,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-01-01,5,5
SUCRE,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-01-01,1,1
TARATA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-01-01,1,1
TARVITA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-01-01,16,16
TOMINA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-01-01,3,3
VILLA CHARCAS,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-01-01,5,5
VILLA MONTES,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-01-01,3,3
VILLA VACA GUZMAN (MUYUPAMPA),referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-01-01,1,1
WARNES,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-01-01,1,1
YAMPARAEZ,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-01-01,3,3
ALCALA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-02-01,1,1
AZURDUY,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-02-01,3,3
COTOCA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-02-01,1,1
EL PUENTE(TJA),referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-02-01,2,2
EL VILLAR,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-02-01,1,1
HUACARETA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-02-01,18,18
ICLA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-02-01,1,1
LA PAZ,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-02-01,1,1
MOJOCOYA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-02-01,3,3
MONTEAGUDO,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-02-01,2,2
ORURO,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-02-01,1,1
PADCAYA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-02-01,1,1
POROMA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-02-01,2,2
PRESTO,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-02-01,3,3
SAN BORJA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-02-01,9,9
SAN LORENZO(TJA),referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-02-01,2,2
SAN LUCAS,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-02-01,7,7
SUCRE,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-02-01,2,2
TARVITA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-02-01,19,19
VILLA CHARCAS,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-02-01,5,5
VILLA MONTES,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-02-01,2,2
YACUIBA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-02-01,3,3
YAMPARAEZ,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-02-01,4,4
ALCALA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-03-01,3,3
AZURDUY,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-03-01,1,1
CARAPARI,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-03-01,1,1
CHARAGUA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-03-01,7,7
EL PUENTE(TJA),referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-03-01,1,1
EL TORNO,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-03-01,1,1
EL VILLAR,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-03-01,4,4
HUACARETA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-03-01,9,9
LA PAZ,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-03-01,1,1
MOJOCOYA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-03-01,6,6
MONTEAGUDO,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-03-01,4,4
PADCAYA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-03-01,1,1
POROMA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-03-01,8,8
PRESTO,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-03-01,4,4
SAN BORJA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-03-01,2,2
SAN LORENZO(TJA),referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-03-01,1,1
SAN LUCAS,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-03-01,2,2
SUCRE,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-03-01,2,2
TACOPAYA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-03-01,1,1
