municipality,group,variable,month,N° de CAI de establecimiento,TOTAL
ACACIO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2017-01-01,1,1
ACHACACHI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2017-01-01,6,6
ACHOCALLA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2017-01-01,2,2
ALTO BENI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2017-01-01,2,2
ANCORAIMES,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2017-01-01,3,3
APOLO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2017-01-01,6,6
ARAMPAMPA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2017-01-01,4,4
ARBIETO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2017-01-01,1,1
ATOCHA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2017-01-01,2,2
AUCAPATA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2017-01-01,3,3
AYATA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2017-01-01,4,4
AYO AYO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2017-01-01,1,1
BATALLAS,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2017-01-01,4,4
BELLA FLOR,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2017-01-01,1,1
BERMEJO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2017-01-01,1,1
BETANZOS,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2017-01-01,4,4
BOYUIBE,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2017-01-01,1,1
BUENA VISTA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2017-01-01,2,2
CABEZAS,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2017-01-01,2,2
"CAIZA ""D""",actividades del establecimiento y con la comunidad,n de cai de establecimiento,2017-01-01,6,6
CALAMARCA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2017-01-01,5,5
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,n de cai de establecimiento,2017-01-01,1,1
CAPINOTA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2017-01-01,3,3
