municipality,group,variable,month,N° de autoevaluciones para acreditación del establecimiento,TOTAL
APOLO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-01-01,1,1
AYATA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-01-01,1,1
CARIPUYO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-01-01,9,9
COCHABAMBA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-01-01,1,1
COTAGAITA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-01-01,1,1
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-01-01,1,1
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-01-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-01-01,3,3
PRESTO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-01-01,1,1
PUNA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-01-01,2,2
SAN ANDRES,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-01-01,1,1
SAN LUCAS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-01-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-01-01,1,1
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-01-01,1,1
TARIJA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-01-01,1,1
TINGUIPAYA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-01-01,1,1
TOMINA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-01-01,1,1
TORO TORO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-01-01,1,1
TUPIZA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-01-01,1,1
YANACACHI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-01-01,4,4
ANCORAIMES,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-02-01,1,1
CAQUIAVIRI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-02-01,1,1
CARIPUYO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-02-01,10,10
CLIZA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-02-01,72,72
COLQUECHACA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-02-01,1,1
CORIPATA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-02-01,6,6
COTAGAITA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-02-01,1,1
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-02-01,1,1
DESAGUADERO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-02-01,3,3
EL ALTO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-02-01,4,4
GUAQUI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-02-01,4,4
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-02-01,2,2
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-02-01,9,9
LA PAZ,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-02-01,5,5
LAJA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-02-01,8,8
MAGDALENA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-02-01,2,2
MOCOMOCO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-02-01,2,2
PUCARANI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-02-01,1,1
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-02-01,2,2
PUERTO PEREZ,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-02-01,1,1
SAN ANDRES DE MACHACA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-02-01,5,5
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-02-01,1,1
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-02-01,2,2
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-02-01,2,2
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-02-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-02-01,2,2
TARACO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-02-01,3,3
TARIJA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-02-01,1,1
TIAWANACU,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-02-01,4,4
TINGUIPAYA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-02-01,1,1
TIPUANI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-02-01,3,3
VILLA TUNARI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-02-01,1,1
ANDAMARCA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-03-01,1,1
APOLO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-03-01,2,2
ARQUE,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-03-01,1,1
AUCAPATA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-03-01,1,1
AYATA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-03-01,2,2
BERMEJO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-03-01,1,1
BETANZOS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-03-01,1,1
CALAMARCA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-03-01,1,1
CAMARGO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-03-01,6,6
CHIMORE,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-03-01,1,1
COBIJA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-03-01,1,1
COLOMI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-03-01,1,1
COLQUECHACA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-03-01,1,1
COLQUENCHA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-03-01,1,1
COTAGAITA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-03-01,2,2
CURVA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-03-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-03-01,4,4
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-03-01,1,1
HUACARETA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-03-01,1,1
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-03-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-03-01,12,12
LAS CARRERAS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-03-01,4,4
PRESTO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-03-01,1,1
PUNA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-03-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-03-01,2,2
SAPAHAQUI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-03-01,3,3
SUCRE,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-03-01,1,1
TARIJA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-03-01,1,1
TINGUIPAYA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-03-01,1,1
VILLA TUNARI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-03-01,1,1
WALDO BALLIVIAN,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-03-01,1,1
YOTALA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-03-01,1,1
BETANZOS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-04-01,1,1
CHALLAPATA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-04-01,2,2
CHAYANTA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-04-01,1,1
CHIPAYA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-04-01,1,1
CHOQUE COTA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-04-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-04-01,1,1
"COLCHA ""K""",actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-04-01,2,2
CORQUE,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-04-01,1,1
COTAGAITA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-04-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-04-01,4,4
INCAHUASI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-04-01,1,1
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-04-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-04-01,16,16
LA RIVERA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-04-01,1,1
LORETO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-04-01,1,1
MECAPACA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-04-01,1,1
MOJOCOYA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-04-01,1,1
OCURI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-04-01,2,2
PADCAYA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-04-01,1,1
PADILLA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-04-01,2,2
PORCO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-04-01,1,1
PORONGO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-04-01,1,1
PORVENIR,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-04-01,1,1
PUNA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-04-01,1,1
SACABAMBA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-04-01,1,1
SAN BORJA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-04-01,1,1
SAN JAVIER(BNI),actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-04-01,1,1
SAN JULIAN,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-04-01,1,1
SAN LUCAS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-04-01,2,2
SAN MATIAS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-04-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-04-01,2,2
SUCRE,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-04-01,3,3
TARATA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-04-01,1,1
TARIJA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-04-01,1,1
TINGUIPAYA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-04-01,1,1
TRINIDAD,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-04-01,1,1
VILLA CHARCAS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-04-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-04-01,1,1
VILLAZON,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-04-01,1,1
YACUIBA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-04-01,1,1
ACACIO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-05-01,1,1
ANDAMARCA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-05-01,4,4
ANZALDO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-05-01,1,1
AYO AYO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-05-01,1,1
BERMEJO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-05-01,1,1
BETANZOS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-05-01,1,1
CALAMARCA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-05-01,1,1
CAMARGO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-05-01,16,16
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-05-01,1,1
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-05-01,1,1
CLIZA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-05-01,1,1
"COLCHA ""K""",actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-05-01,1,1
COLQUECHACA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-05-01,1,1
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-05-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-05-01,7,7
MECAPACA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-05-01,1,1
MIZQUE,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-05-01,1,1
PADCAYA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-05-01,2,2
PALCA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-05-01,1,1
PUERTO GONZALO MORENO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-05-01,1,1
PUNA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-05-01,1,1
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-05-01,1,1
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-05-01,3,3
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-05-01,7,7
SUCRE,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-05-01,1,1
TARABUCO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-05-01,1,1
TARIJA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-05-01,2,2
TARVITA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-05-01,1,1
UNCIA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-05-01,1,1
VILLA SERRANO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-05-01,1,1
WARNES,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-05-01,2,2
YAMPARAEZ,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-05-01,1,1
YANACACHI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-05-01,4,4
YOCALLA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-05-01,1,1
YOTALA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-05-01,2,2
ZUDAÑEZ,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-05-01,1,1
ALCALA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-06-01,1,1
ANZALDO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-06-01,1,1
APOLO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-06-01,2,2
ARQUE,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-06-01,1,1
AYATA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-06-01,3,3
BERMEJO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-06-01,1,1
CALAMARCA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-06-01,1,1
CAQUIAVIRI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-06-01,1,1
CHACARILLA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-06-01,1,1
CHUMA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-06-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-06-01,2,2
"COLCHA ""K""",actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-06-01,2,2
EL ALTO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-06-01,2,2
EL TORNO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-06-01,1,1
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-06-01,3,3
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-06-01,1,1
GUANAY,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-06-01,1,1
GUAQUI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-06-01,2,2
HUMANATA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-06-01,1,1
ICLA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-06-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-06-01,5,5
LAGUNILLAS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-06-01,1,1
MECAPACA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-06-01,3,3
MOJOCOYA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-06-01,1,1
PALCA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-06-01,1,1
PUNA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-06-01,2,2
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-06-01,1,1
SAN LUCAS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-06-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-06-01,6,6
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-06-01,1,1
SAPAHAQUI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-06-01,2,2
SUCRE,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-06-01,4,4
TARACO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-06-01,2,2
TARIJA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-06-01,8,8
TITO YUPANQUI (PARQUIPUJIO),actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-06-01,1,1
TOLEDO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-06-01,1,1
UNCIA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-06-01,2,2
VILLA CHARCAS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-06-01,1,1
VILLA SERRANO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2017-06-01,1,1
